Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-8.21056
-89,0,-8.21056
-88,0,-8.21056
-87,0,-8.21056
-86,0,-8.21056
-85,0,-8.21056
-84,0,-8.21056
-83,0,-8.21056
-82,0,-8.21056
-81,0,-8.21056
-80,0,-8.21056
-79,0,-8.21056
-78,0,-8.21056
-77,0,-8.21056
-76,0,-8.21056
-75,0,-8.21056
-74,0,-8.21056
-73,0,-8.21056
-72,0,-8.21056
-71,0,-8.21056
-70,0,-8.21056
-69,0,-8.21056
-68,0,-8.21056
-67,0,-8.21056
-66,0,-8.21056
-65,0,-8.21056
-64,0,-8.21056
-63,0,-8.21056
-62,0,-8.21056
-61,0,-8.21056
-60,0,-8.21056
-59,0,-8.21056
-58,0,-8.21056
-57,0,-8.21056
-56,0,-8.21056
-55,0,-8.21056
-54,0,-8.21056
-53,0,-8.21056
-52,0,-8.21056
-51,0,-8.21056
-50,0,-8.21056
-49,0,-8.21056
-48,0,-8.21056
-47,0,-8.21056
-46,0,-8.21056
-45,0,-8.21056
-44,0,-8.21056
-43,0,-8.21056
-42,0,-8.21056
-41,0,-8.21056
-40,0,-8.21056
-39,0,-8.21056
-38,0,-8.21056
-37,0,-8.21056
-36,0,-8.21056
-35,0,-8.21056
-34,0,-8.21056
-33,0,-8.21056
-32,0,-8.21056
-31,0,-8.21056
-30,0,-8.21056
-29,0,-8.21056
-28,0,-8.21056
-27,0,-8.21056
-26,0,-8.21056
-25,0,-8.21056
-24,0,-8.21056
-23,0,-8.21056
-22,0,-8.21056
-21,0,-8.21056
-20,0,-8.21056
-19,0,-8.21056
-18,0,-8.21056
-17,0,-8.21056
-16,0,-8.21056
-15,0,-8.21056
-14,0,-8.21056
-13,0,-8.21056
-12,0,-8.21056
-11,0,-8.21056
-10,0,-8.21056
-9,0,-8.21056
-8,0,-8.21056
-7,0,-8.21056
-6,0,-8.21056
-5,0,-8.21056
-4,0,-8.21056
-3,0,-8.21056
-2,0,-8.21056
-1,0,-8.21056
0,0,-8.20374
1,0,-8.20374
2,0,-8.20374
3,0,-8.20374
4,0,-8.20374
5,0,-8.20374
6,0,-8.20374
7,0,-8.20374
8,0,-8.20374
9,0,-8.20374
10,0,-8.20374
11,0,-8.20374
12,0,-8.20374
13,0,-8.20374
14,0,-8.20374
15,0,-8.20374
16,0,-8.20374
17,0,-8.20374
18,0,-8.20374
19,0,-8.20374
20,0,-8.20374
21,0,-8.20374
22,0,-8.20374
23,0,-8.20374
24,0,-8.20374
25,0,-8.20374
26,0,-8.20374
27,0,-8.20374
28,0,-8.20374
29,0,-8.20374
30,0,-8.20374
31,0,-8.20374
32,0,-8.20374
33,0,-8.20374
34,0,-8.20374
35,0,-8.20374
36,0,-8.20374
37,0,-8.20374
38,0,-8.20374
39,0,-8.20374
40,0,-8.20374
41,0,-8.20374
42,0,-8.20374
43,0,-8.20374
44,0,-8.20374
45,0,-8.20374
46,0,-8.20374
47,0,-8.20374
48,0,-8.20374
49,0,-8.20374
50,0,-8.20374
51,0,-8.20374
52,0,-8.20374
53,0,-8.20374
54,0,-8.20374
55,0,-8.20374
56,0,-8.20374
57,0,-8.20374
58,0,-8.20374
59,0,-8.20374
60,0,-8.20374
61,0,-8.20374
