Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-7.96661
-89,0,-7.96661
-88,0,-7.96661
-87,0,-7.96661
-86,0,-7.96661
-85,0,-7.96661
-84,0,-7.96661
-83,0,-7.96661
-82,0,-7.96661
-81,0,-7.96661
-80,0,-7.96661
-79,0,-7.96661
-78,0,-7.96661
-77,0,-7.96661
-76,0,-7.96661
-75,0,-7.96661
-74,0,-7.96661
-73,0,-7.96661
-72,0,-7.96661
-71,0,-7.96661
-70,0,-7.96661
-69,0,-7.96661
-68,0,-7.96661
-67,0,-7.96661
-66,0,-7.96661
-65,0,-7.96661
-64,0,-7.96661
-63,0,-7.96661
-62,0,-7.96661
-61,0,-7.96661
-60,0,-7.96661
-59,0,-7.96661
-58,0,-7.96661
-57,0,-7.96661
-56,0,-7.96661
-55,0,-7.96661
-54,0,-7.96661
-53,0,-7.96661
-52,0,-7.96661
-51,0,-7.96661
-50,0,-7.96661
-49,0,-7.96661
-48,0,-7.96661
-47,0,-7.96661
-46,0,-7.96661
-45,0,-7.96661
-44,0,-7.96661
-43,0,-7.96661
-42,0,-7.96661
-41,0,-7.96661
-40,0,-7.96661
-39,0,-7.96661
-38,0,-7.96661
-37,0,-7.96661
-36,0,-7.96661
-35,0,-7.96661
-34,0,-7.96661
-33,0,-7.96661
-32,0,-7.96661
-31,0,-7.96661
-30,0,-7.96661
-29,0,-7.96661
-28,0,-7.96661
-27,0,-7.96661
-26,0,-7.96661
-25,0,-7.96661
-24,0,-7.96661
-23,0,-7.96661
-22,0,-7.96661
-21,0,-7.96661
-20,0,-7.96661
-19,0,-7.96661
-18,0,-7.96661
-17,0,-7.96661
-16,0,-7.96661
-15,0,-7.96661
-14,0,-7.96661
-13,0,-7.96661
-12,0,-7.96661
-11,0,-7.96661
-10,0,-7.96661
-9,0,-7.96661
-8,0,-7.96661
-7,0,-7.96661
-6,0,-7.96661
-5,0,-7.96661
-4,0,-7.96661
-3,0,-7.96661
-2,0,-7.96661
-1,0,-7.96661
0,0,-7.96661
1,0,-7.96661
2,0,-7.96661
3,0,-7.96661
4,0,-7.96661
5,0,-7.96661
6,0,-7.96661
7,0,-7.96661
8,0,-7.96661
9,0,-7.96661
10,0,-7.96661
11,0,-7.96661
12,0,-7.96661
13,0,-7.96661
14,0,-7.96661
15,0,-7.96661
16,0,-7.96661
17,0,-7.96661
18,0,-7.96661
19,0,-7.96661
20,0,-7.96661
21,0,-7.96661
22,0,-7.96661
23,0,-7.96661
24,0,-7.96661
25,0,-7.96661
26,0,-7.96661
27,0,-7.96661
28,0,-7.96661
29,0,-7.96661
30,0,-7.96661
31,0,-7.96661
32,0,-7.96661
33,0,-7.96661
34,0,-7.96661
35,0,-7.96661
36,0,-7.96661
37,0,-7.96661
38,0,-7.96661
39,0,-7.96661
40,0,-7.96661
41,0,-7.96661
42,0,-7.96661
43,0,-7.96661
44,0,-7.96661
45,0,-7.96661
46,0,-7.96661
47,0,-7.96661
48,0,-7.96661
49,0,-7.96661
50,0,-7.96661
51,0,-7.96661
52,0,-7.96661
53,0,-7.96661
54,0,-7.96661
55,0,-7.96661
56,0,-7.96661
57,0,-7.96661
58,0,-7.96661
59,0,-7.96661
60,0,-7.96661
61,0,-7.96661
62,0,-7.96661
63,0,-7.96661
64,0,-7.96661
65,0,-7.96661
66,0,-7.96661
67,0,-7.96661
68,0,-7.96661
69,0,-7.96661
70,0,-7.96661
71,0,-7.96661
72,0,-7.96661
73,0,-7.96661
74,0,-7.96661
75,0,-7.96661
76,0,-7.96661
77,0,-7.96661
78,0,-7.96661
79,0,-7.96661
80,0,-7.96661
81,0,-7.96661
82,0,-7.96661
83,0,-7.96661
84,0,-7.96661
85,0,-7.96661
86,0,-7.96661
87,0,-7.96661
88,0,-7.96661
89,0,-7.96661
90,0,-9.11242
-90,1,-7.1664
-89,1,-9.19788
-88,1,-9.19751
-87,1,-9.19695
-86,1,-9.19619
-85,1,-9.19521
-84,1,-9.19401
-83,1,-9.1926
-82,1,-9.19097
-81,1,-9.18913
-80,1,-9.18709
-79,1,-9.18483
-78,1,-9.18237
-77,1,-9.17971
-76,1,-9.17685
-75,1,-9.1738
-74,1,-9.17054
-73,1,-9.1671
-72,1,-9.16348
-71,1,-9.15967
-70,1,-9.15569
-69,1,-9.15153
-68,1,-9.1472
-67,1,-9.14271
-66,1,-9.13807
-65,1,-9.13326
-64,1,-9.12832
-63,1,-9.12323
-62,1,-9.118
-61,1,-9.11264
-60,1,-9.10717
-59,1,-9.10157
-58,1,-9.09586
-57,1,-9.09005
-56,1,-9.08415
-55,1,-9.07815
-54,1,-9.07207
-53,1,-9.06592
-52,1,-9.0597
-51,1,-9.05342
-50,1,-9.04709
-49,1,-9.04072
-48,1,-9.0343
-47,1,-9.02786
-46,1,-9.0214
-45,1,-9.01493
-44,1,-9.00845
-43,1,-9.00198
-42,1,-8.99552
-41,1,-8.98908
-40,1,-8.98266
-39,1,-8.97629
-38,1,-8.96995
-37,1,-8.96367
-36,1,-8.95745
-35,1,-8.9513
-34,1,-8.94523
-33,1,-8.93923
-32,1,-8.93333
-31,1,-8.92753
-30,1,-8.92184
-29,1,-8.91625
-28,1,-8.91079
-27,1,-8.90546
-26,1,-8.90026
-25,1,-8.8952
-24,1,-8.89029
-23,1,-8.88553
-22,1,-8.88093
-21,1,-8.8765
-20,1,-8.87224
-19,1,-8.86816
-18,1,-8.86426
-17,1,-8.86055
-16,1,-8.85703
-15,1,-8.85371
-14,1,-8.85059
-13,1,-8.84767
-12,1,-8.84497
-11,1,-8.84247
-10,1,-8.84019
-9,1,-8.83814
-8,1,-8.8363
-7,1,-8.83469
-6,1,-8.8333
-5,1,-8.83215
-4,1,-8.83122
-3,1,-8.83053
-2,1,-8.83007
-1,1,-8.82984
0,1,-8.82985
1,1,-8.83009
2,1,-8.83057
3,1,-8.83128
4,1,-8.83223
5,1,-8.8334
6,1,-8.83481
7,1,-8.83645
8,1,-8.83832
9,1,-8.84041
10,1,-8.84273
11,1,-8.84527
12,1,-8.84803
13,1,-8.851
14,1,-8.85419
15,1,-8.85758
16,1,-8.86118
17,1,-8.86498
18,1,-8.86898
19,1,-8.87317
20,1,-8.87754
21,1,-8.88209
22,1,-8.88682
23,1,-8.89173
24,1,-8.89679
25,1,-8.90202
26,1,-8.9074
27,1,-8.91292
28,1,-8.91858
29,1,-8.92438
30,1,-8.9303
31,1,-8.93635
32,1,-8.9425
33,1,-8.94876
34,1,-8.95512
35,1,-8.96156
36,1,-8.96809
37,1,-8.9747
38,1,-8.98136
39,1,-8.98809
40,1,-8.99487
41,1,-9.00169
42,1,-9.00854
43,1,-9.01542
44,1,-9.02231
45,1,-9.02922
46,1,-9.03612
47,1,-9.04302
48,1,-9.0499
49,1,-9.05675
50,1,-9.06358
51,1,-9.07036
52,1,-9.07709
53,1,-9.08377
54,1,-9.09038
55,1,-9.09692
56,1,-9.10337
57,1,-9.10974
58,1,-9.116
59,1,-9.12217
60,1,-9.12822
61,1,-9.13415
62,1,-9.13995
63,1,-9.14562
64,1,-9.15115
65,1,-9.15653
66,1,-9.16175
67,1,-9.16682
68,1,-9.17171
69,1,-9.17644
70,1,-9.18098
71,1,-9.18534
72,1,-9.18951
73,1,-9.19348
74,1,-9.19726
75,1,-9.20083
76,1,-9.20419
77,1,-9.20733
78,1,-9.21026
79,1,-9.21297
80,1,-9.21546
81,1,-9.21772
82,1,-9.21974
83,1,-9.22154
84,1,-9.2231
85,1,-9.22442
86,1,-9.2255
87,1,-9.22635
88,1,-9.22696
89,1,-9.22732
90,1,-9.22745
-90,2,-7.23304
-89,2,-10.362
-88,2,-10.3608
-87,2,-10.359
-86,2,-10.3565
-85,2,-10.3532
-84,2,-10.3491
-83,2,-10.3443
-82,2,-10.3387
-81,2,-10.3323
-80,2,-10.3251
-79,2,-10.3171
-78,2,-10.3083
-77,2,-10.2986
-76,2,-10.288
-75,2,-10.2766
-74,2,-10.2644
-73,2,-10.2513
-72,2,-10.2373
-71,2,-10.2225
-70,2,-10.2069
-69,2,-10.1904
-68,2,-10.1731
-67,2,-10.155
-66,2,-10.1361
-65,2,-10.1164
-64,2,-10.0961
-63,2,-10.075
