Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-13.0873
-89,0,-13.0873
-88,0,-13.0873
-87,0,-13.0873
-86,0,-13.0873
-85,0,-13.0873
-84,0,-13.0873
-83,0,-13.0873
-82,0,-13.0873
-81,0,-13.0873
-80,0,-13.0873
-79,0,-13.0873
-78,0,-13.0873
-77,0,-13.0873
-76,0,-13.0873
-75,0,-13.0873
-74,0,-13.0873
-73,0,-13.0873
-72,0,-13.0873
-71,0,-13.0873
-70,0,-13.0873
-69,0,-13.0873
-68,0,-13.0873
-67,0,-13.0873
-66,0,-13.0873
-65,0,-13.0873
-64,0,-13.0873
-63,0,-13.0873
-62,0,-13.0873
-61,0,-13.0873
-60,0,-13.0873
-59,0,-13.0873
-58,0,-13.0873
-57,0,-13.0873
-56,0,-13.0873
-55,0,-13.0873
-54,0,-13.0873
-53,0,-13.0873
-52,0,-13.0873
-51,0,-13.0873
-50,0,-13.0873
-49,0,-13.0873
-48,0,-13.0873
-47,0,-13.0873
-46,0,-13.0873
-45,0,-13.0873
-44,0,-13.0873
-43,0,-13.0873
-42,0,-13.0873
-41,0,-13.0873
-40,0,-13.0873
-39,0,-13.0873
-38,0,-13.0873
-37,0,-13.0873
-36,0,-13.0873
-35,0,-13.0873
-34,0,-13.0873
-33,0,-13.0873
-32,0,-13.0873
-31,0,-13.0873
-30,0,-13.0873
-29,0,-13.0873
-28,0,-13.0873
-27,0,-13.0873
-26,0,-13.0873
-25,0,-13.0873
-24,0,-13.0873
-23,0,-13.0873
-22,0,-13.0873
-21,0,-13.0873
-20,0,-13.0873
-19,0,-13.0873
-18,0,-13.0873
-17,0,-13.0873
-16,0,-13.0873
-15,0,-13.0873
-14,0,-13.0873
-13,0,-13.0873
-12,0,-13.0873
-11,0,-13.0873
-10,0,-13.0873
-9,0,-13.0873
-8,0,-13.0873
-7,0,-13.0873
-6,0,-13.0873
-5,0,-13.0873
-4,0,-13.0873
-3,0,-13.0873
-2,0,-13.0873
-1,0,-13.0873
0,0,-13.0873
1,0,-13.0873
2,0,-13.0873
3,0,-13.0873
4,0,-13.0873
5,0,-13.0873
6,0,-13.0873
7,0,-13.0873
8,0,-13.0873
9,0,-13.0873
10,0,-13.0873
11,0,-13.0873
12,0,-13.0873
13,0,-13.0873
14,0,-13.0873
15,0,-13.0873
16,0,-13.0873
17,0,-13.0873
18,0,-13.0873
19,0,-13.0873
20,0,-13.0873
21,0,-13.0873
22,0,-13.0873
23,0,-13.0873
24,0,-13.0873
25,0,-13.0873
26,0,-13.0873
27,0,-13.0873
28,0,-13.0873
29,0,-13.0873
30,0,-13.0873
31,0,-13.0873
32,0,-13.0873
33,0,-13.0873
34,0,-13.0873
35,0,-13.0873
36,0,-13.0873
37,0,-13.0873
38,0,-13.0873
39,0,-13.0873
40,0,-13.0873
41,0,-13.0873
42,0,-13.0873
43,0,-13.0873
44,0,-13.0873
45,0,-13.0873
46,0,-13.0873
47,0,-13.0873
48,0,-13.0873
49,0,-13.0873
50,0,-13.0873
51,0,-13.0873
52,0,-13.0873
53,0,-13.0873
54,0,-13.0873
55,0,-13.0873
56,0,-13.0873
57,0,-13.0873
58,0,-13.0873
59,0,-13.0873
60,0,-13.0873
61,0,-13.0873
62,0,-13.0873
63,0,-13.0873
64,0,-13.0873
65,0,-13.0873
66,0,-13.0873
67,0,-13.0873
68,0,-13.0873
69,0,-13.0873
70,0,-13.0873
71,0,-13.0873
72,0,-13.0873
73,0,-13.0873
74,0,-13.0873
75,0,-13.0873
76,0,-13.0873
77,0,-13.0873
78,0,-13.0873
79,0,-13.0873
80,0,-13.0873
81,0,-13.0873
82,0,-13.0873
83,0,-13.0873
84,0,-13.0873
85,0,-13.0873
86,0,-13.0873
87,0,-13.0873
88,0,-13.0873
89,0,-13.0873
90,0,-13.0873
-90,1,-13.5606
-89,1,-17.9737
-88,1,-17.9734
-87,1,-17.9729
-86,1,-17.9721
-85,1,-17.9711
-84,1,-17.9699
-83,1,-17.9684
-82,1,-17.9668
-81,1,-17.9649
-80,1,-17.9628
-79,1,-17.9605
-78,1,-17.9579
-77,1,-17.9552
-76,1,-17.9523
-75,1,-17.9492
-74,1,-17.9458
-73,1,-17.9423
-72,1,-17.9386
-71,1,-17.9348
-70,1,-17.9307
-69,1,-17.9265
-68,1,-17.9221
-67,1,-17.9175
-66,1,-17.9128
-65,1,-17.908
-64,1,-17.903
-63,1,-17.8978
-62,1,-17.8926
-61,1,-17.8872
-60,1,-17.8817
-59,1,-17.8761
-58,1,-17.8703
-57,1,-17.8645
-56,1,-17.8586
-55,1,-17.8526
-54,1,-17.8466
-53,1,-17.8404
-52,1,-17.8342
-51,1,-17.828
-50,1,-17.8217
-49,1,-17.8154
-48,1,-17.809
-47,1,-17.8026
-46,1,-17.7962
-45,1,-17.7898
-44,1,-17.7834
-43,1,-17.777
-42,1,-17.7707
-41,1,-17.7643
-40,1,-17.758
-39,1,-17.7517
-38,1,-17.7455
-37,1,-17.7394
-36,1,-17.7333
-35,1,-17.7272
-34,1,-17.7213
-33,1,-17.7154
-32,1,-17.7096
-31,1,-17.7039
-30,1,-17.6984
-29,1,-17.6929
-28,1,-17.6876
-27,1,-17.6823
-26,1,-17.6772
-25,1,-17.6723
-24,1,-17.6675
-23,1,-17.6628
-22,1,-17.6583
-21,1,-17.654
-20,1,-17.6498
-19,1,-17.6458
-18,1,-17.642
-17,1,-17.6384
-16,1,-17.6349
-15,1,-17.6316
-14,1,-17.6285
-13,1,-17.6257
-12,1,-17.623
-11,1,-17.6205
-10,1,-17.6182
-9,1,-17.6162
-8,1,-17.6143
-7,1,-17.6127
-6,1,-17.6112
-5,1,-17.61
-4,1,-17.609
-3,1,-17.6083
-2,1,-17.6077
-1,1,-17.6074
0,1,-17.6073
1,1,-17.6074
2,1,-17.6077
3,1,-17.6083
4,1,-17.609
5,1,-17.61
6,1,-17.6112
7,1,-17.6127
8,1,-17.6143
9,1,-17.6162
10,1,-17.6182
11,1,-17.6205
12,1,-17.623
13,1,-17.6257
14,1,-17.6285
15,1,-17.6316
16,1,-17.6349
17,1,-17.6384
18,1,-17.642
19,1,-17.6458
20,1,-17.6498
21,1,-17.654
22,1,-17.6583
23,1,-17.6628
24,1,-17.6675
25,1,-17.6723
26,1,-17.6772
27,1,-17.6823
28,1,-17.6876
29,1,-17.6929
30,1,-17.6984
31,1,-17.7039
32,1,-17.7096
33,1,-17.7154
34,1,-17.7213
35,1,-17.7272
36,1,-17.7333
37,1,-17.7394
38,1,-17.7455
39,1,-17.7517
40,1,-17.758
41,1,-17.7643
42,1,-17.7707
43,1,-17.777
44,1,-17.7834
45,1,-17.7898
46,1,-17.7962
47,1,-17.8026
48,1,-17.809
49,1,-17.8154
50,1,-17.8217
51,1,-17.828
52,1,-17.8342
53,1,-17.8404
54,1,-17.8466
55,1,-17.8526
56,1,-17.8586
57,1,-17.8645
58,1,-17.8703
59,1,-17.8761
60,1,-17.8817
61,1,-17.8872
62,1,-17.8926
63,1,-17.8978
64,1,-17.903
65,1,-17.908
66,1,-17.9128
67,1,-17.9175
68,1,-17.9221
69,1,-17.9265
70,1,-17.9307
71,1,-17.9348
72,1,-17.9386
73,1,-17.9423
74,1,-17.9458
75,1,-17.9492
76,1,-17.9523
77,1,-17.9552
78,1,-17.9579
79,1,-17.9605
80,1,-17.9628
81,1,-17.9649
82,1,-17.9668
83,1,-17.9684
84,1,-17.9699
85,1,-17.9711
86,1,-17.9721
87,1,-17.9729
88,1,-17.9734
89,1,-17.9737
90,1,-13.5606
-90,2,-14.881
-89,2,-19.0211
-88,2,-19.0197
-87,2,-19.0173
-86,2,-19.014
-85,2,-19.0098
-84,2,-19.0046
-83,2,-18.9984
-82,2,-18.9914
-81,2,-18.9835
-80,2,-18.9746
-79,2,-18.9649
-78,2,-18.9543
-77,2,-18.9428
-76,2,-18.9305
-75,2,-18.9173
-74,2,-18.9034
-73,2,-18.8886
-72,2,-18.8731
-71,2,-18.8569
-70,2,-18.8399
-69,2,-18.8222
-68,2,-18.8038
-67,2,-18.7847
-66,2,-18.765
-65,2,-18.7447
-64,2,-18.7239
-63,2,-18.7024
-62,2,-18.6805
-61,2,-18.658
-60,2,-18.6351
-59,2,-18.6117
-58,2,-18.5879
-57,2,-18.5637
-56,2,-18.5392
-55,2,-18.5144
-54,2,-18.4892
-53,2,-18.4638
-52,2,-18.4382
-51,2,-18.4124
-50,2,-18.3865
-49,2,-18.3604
-48,2,-18.3342
-47,2,-18.3079
-46,2,-18.2816
-45,2,-18.2554
-44,2,-18.2291
-43,2,-18.2029
-42,2,-18.1768
-41,2,-18.1509
-40,2,-18.125
-39,2,-18.0994
-38,2,-18.074
-37,2,-18.0489
-36,2,-18.024
-35,2,-17.9994
-34,2,-17.9752
-33,2,-17.9513
-32,2,-17.9279
-31,2,-17.9048
-30,2,-17.8822
-29,2,-17.8601
-28,2,-17.8384
-27,2,-17.8173
-26,2,-17.7968
-25,2,-17.7768
-24,2,-17.7574
-23,2,-17.7386
-22,2,-17.7205
-21,2,-17.703
-20,2,-17.6862
-19,2,-17.6701
-18,2,-17.6547
-17,2,-17.6401
-16,2,-17.6261
-15,2,-17.613
-14,2,-17.6006
-13,2,-17.5891
-12,2,-17.5783
-11,2,-17.5683
-10,2,-17.5592
-9,2,-17.5509
-8,2,-17.5435
-7,2,-17.5369
-6,2,-17.5312
-5,2,-17.5263
-4,2,-17.5224
-3,2,-17.5193
-2,2,-17.517
-1,2,-17.5157
0,2,-17.5153
1,2,-17.5157
2,2,-17.517
3,2,-17.5193
4,2,-17.5224
5,2,-17.5263
6,2,-17.5312
7,2,-17.5369
8,2,-17.5435
9,2,-17.5509
10,2,-17.5592
11,2,-17.5683
12,2,-17.5783
13,2,-17.5891
14,2,-17.6006
15,2,-17.613
16,2,-17.6261
17,2,-17.6401
18,2,-17.6547
19,2,-17.6701
20,2,-17.6862
21,2,-17.703
22,2,-17.7205
23,2,-17.7386
24,2,-17.7574
25,2,-17.7768
26,2,-17.7968
27,2,-17.8173
28,2,-17.8384
29,2,-17.8601
30,2,-17.8822
31,2,-17.9048
32,2,-17.9279
33,2,-17.9513
34,2,-17.9752
35,2,-17.9994
36,2,-18.024
