Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-8.37679
-89,0,-8.37679
-88,0,-8.37679
-87,0,-8.37679
-86,0,-8.37679
-85,0,-8.37679
-84,0,-8.37679
-83,0,-8.37679
-82,0,-8.37679
-81,0,-8.37679
-80,0,-8.37679
-79,0,-8.37679
-78,0,-8.37679
-77,0,-8.37679
-76,0,-8.37679
-75,0,-8.37679
-74,0,-8.37679
-73,0,-8.37679
-72,0,-8.37679
-71,0,-8.37679
-70,0,-8.37679
-69,0,-8.37679
-68,0,-8.37679
-67,0,-8.37679
-66,0,-8.37679
-65,0,-8.37679
-64,0,-8.37679
-63,0,-8.37679
-62,0,-8.37679
-61,0,-8.37679
-60,0,-8.37679
-59,0,-8.37679
-58,0,-8.37679
-57,0,-8.37679
-56,0,-8.37679
-55,0,-8.37679
-54,0,-8.37679
-53,0,-8.37679
-52,0,-8.37679
-51,0,-8.37679
-50,0,-8.37679
-49,0,-8.37679
-48,0,-8.37679
-47,0,-8.37679
-46,0,-8.37679
-45,0,-8.37679
-44,0,-8.37679
-43,0,-8.37679
-42,0,-8.37679
-41,0,-8.37679
-40,0,-8.37679
-39,0,-8.37679
-38,0,-8.37679
-37,0,-8.37679
-36,0,-8.37679
-35,0,-8.37679
-34,0,-8.37679
-33,0,-8.37679
-32,0,-8.37679
-31,0,-8.37679
-30,0,-8.37679
-29,0,-8.37679
-28,0,-8.37679
-27,0,-8.37679
-26,0,-8.37679
-25,0,-8.37679
-24,0,-8.37679
-23,0,-8.37679
-22,0,-8.37679
-21,0,-8.37679
-20,0,-8.37679
-19,0,-8.37679
-18,0,-8.37679
-17,0,-8.37679
-16,0,-8.37679
-15,0,-8.37679
-14,0,-8.37679
-13,0,-8.37679
-12,0,-8.37679
-11,0,-8.37679
-10,0,-8.37679
-9,0,-8.37679
-8,0,-8.37679
-7,0,-8.37679
-6,0,-8.37679
-5,0,-8.37679
-4,0,-8.37679
-3,0,-8.37679
-2,0,-8.37679
-1,0,-8.37679
0,0,-8.37679
1,0,-8.37679
2,0,-8.37679
3,0,-8.37679
4,0,-8.37679
5,0,-8.37679
6,0,-8.37679
7,0,-8.37679
8,0,-8.37679
9,0,-8.37679
10,0,-8.37679
11,0,-8.37679
12,0,-8.37679
13,0,-8.37679
14,0,-8.37679
15,0,-8.37679
16,0,-8.37679
17,0,-8.37679
18,0,-8.37679
19,0,-8.37679
20,0,-8.37679
21,0,-8.37679
22,0,-8.37679
23,0,-8.37679
24,0,-8.37679
25,0,-8.37679
26,0,-8.37679
27,0,-8.37679
28,0,-8.37679
29,0,-8.37679
30,0,-8.37679
31,0,-8.37679
32,0,-8.37679
33,0,-8.37679
34,0,-8.37679
35,0,-8.37679
36,0,-8.37679
37,0,-8.37679
38,0,-8.37679
39,0,-8.37679
40,0,-8.37679
41,0,-8.37679
42,0,-8.37679
43,0,-8.37679
44,0,-8.37679
45,0,-8.37679
46,0,-8.37679
47,0,-8.37679
48,0,-8.37679
49,0,-8.37679
50,0,-8.37679
51,0,-8.37679
52,0,-8.37679
53,0,-8.37679
54,0,-8.37679
55,0,-8.37679
56,0,-8.37679
57,0,-8.37679
58,0,-8.37679
59,0,-8.37679
60,0,-8.37679
61,0,-8.37679
62,0,-8.37679
63,0,-8.37679
64,0,-8.37679
65,0,-8.37679
66,0,-8.37679
67,0,-8.37679
68,0,-8.37679
69,0,-8.37679
70,0,-8.37679
71,0,-8.37679
72,0,-8.37679
73,0,-8.37679
74,0,-8.37679
