Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-22.0493
-89,0,-22.0493
-88,0,-22.0493
-87,0,-22.0493
-86,0,-22.0493
-85,0,-22.0493
-84,0,-22.0493
-83,0,-22.0493
-82,0,-22.0493
-81,0,-22.0493
-80,0,-22.0493
-79,0,-22.0493
-78,0,-22.0493
-77,0,-22.0493
-76,0,-22.0493
-75,0,-22.0493
-74,0,-22.0493
-73,0,-22.0493
-72,0,-22.0493
-71,0,-22.0493
-70,0,-22.0493
-69,0,-22.0493
-68,0,-22.0493
-67,0,-22.0493
-66,0,-22.0493
-65,0,-22.0493
-64,0,-22.0493
-63,0,-22.0493
-62,0,-22.0493
-61,0,-22.0493
-60,0,-22.0493
-59,0,-22.0493
-58,0,-22.0493
-57,0,-22.0493
-56,0,-22.0493
-55,0,-22.0493
-54,0,-22.0493
-53,0,-22.0493
-52,0,-22.0493
-51,0,-22.0493
-50,0,-22.0493
-49,0,-22.0493
-48,0,-22.0493
-47,0,-22.0493
-46,0,-22.0493
-45,0,-22.0493
-44,0,-22.0493
-43,0,-22.0493
-42,0,-22.0493
-41,0,-22.0493
-40,0,-22.0493
-39,0,-22.0493
-38,0,-22.0493
-37,0,-22.0493
-36,0,-22.0493
-35,0,-22.0493
-34,0,-22.0493
-33,0,-22.0493
-32,0,-22.0493
-31,0,-22.0493
-30,0,-22.0493
-29,0,-22.0493
-28,0,-22.0493
-27,0,-22.0493
-26,0,-22.0493
-25,0,-22.0493
-24,0,-22.0493
-23,0,-22.0493
-22,0,-22.0493
-21,0,-22.0493
-20,0,-22.0493
-19,0,-22.0493
-18,0,-22.0493
-17,0,-22.0493
-16,0,-22.0493
-15,0,-22.0493
-14,0,-22.0493
-13,0,-22.0493
-12,0,-22.0493
-11,0,-22.0493
-10,0,-22.0493
-9,0,-22.0493
-8,0,-22.0493
-7,0,-22.0493
-6,0,-22.0493
-5,0,-22.0493
-4,0,-22.0493
-3,0,-22.0493
-2,0,-22.0493
-1,0,-22.0493
0,0,-22.0493
1,0,-22.0493
2,0,-22.0493
3,0,-22.0493
4,0,-22.0493
5,0,-22.0493
6,0,-22.0493
7,0,-22.0493
8,0,-22.0493
9,0,-22.0493
10,0,-22.0493
11,0,-22.0493
12,0,-22.0493
13,0,-22.0493
14,0,-22.0493
15,0,-22.0493
16,0,-22.0493
17,0,-22.0493
18,0,-22.0493
19,0,-22.0493
20,0,-22.0493
21,0,-22.0493
22,0,-22.0493
23,0,-22.0493
24,0,-22.0493
25,0,-22.0493
26,0,-22.0493
27,0,-22.0493
28,0,-22.0493
29,0,-22.0493
30,0,-22.0493
31,0,-22.0493
32,0,-22.0493
33,0,-22.0493
34,0,-22.0493
35,0,-22.0493
36,0,-22.0493
37,0,-22.0493
38,0,-22.0493
39,0,-22.0493
40,0,-22.0493
41,0,-22.0493
42,0,-22.0493
43,0,-22.0493
44,0,-22.0493
45,0,-22.0493
46,0,-22.0493
47,0,-22.0493
48,0,-22.0493
49,0,-22.0493
50,0,-22.0493
51,0,-22.0493
52,0,-22.0493
