Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-23.3653
-89,0,-23.3653
-88,0,-23.3653
-87,0,-23.3653
-86,0,-23.3653
-85,0,-23.3653
-84,0,-23.3653
-83,0,-23.3653
-82,0,-23.3653
-81,0,-23.3653
-80,0,-23.3653
-79,0,-23.3653
-78,0,-23.3653
-77,0,-23.3653
-76,0,-23.3653
-75,0,-23.3653
-74,0,-23.3653
-73,0,-23.3653
-72,0,-23.3653
-71,0,-23.3653
-70,0,-23.3653
-69,0,-23.3653
-68,0,-23.3653
-67,0,-23.3653
-66,0,-23.3653
-65,0,-23.3653
-64,0,-23.3653
-63,0,-23.3653
-62,0,-23.3653
-61,0,-23.3653
-60,0,-23.3653
-59,0,-23.3653
-58,0,-23.3653
-57,0,-23.3653
-56,0,-23.3653
-55,0,-23.3653
-54,0,-23.3653
-53,0,-23.3653
-52,0,-23.3653
-51,0,-23.3653
-50,0,-23.3653
-49,0,-23.3653
-48,0,-23.3653
-47,0,-23.3653
-46,0,-23.3653
-45,0,-23.3653
-44,0,-23.3653
-43,0,-23.3653
-42,0,-23.3653
-41,0,-23.3653
-40,0,-23.3653
-39,0,-23.3653
-38,0,-23.3653
-37,0,-23.3653
-36,0,-23.3653
-35,0,-23.3653
-34,0,-23.3653
-33,0,-23.3653
-32,0,-23.3653
-31,0,-23.3653
-30,0,-23.3653
-29,0,-23.3653
-28,0,-23.3653
-27,0,-23.3653
-26,0,-23.3653
-25,0,-23.3653
-24,0,-23.3653
-23,0,-23.3653
-22,0,-23.3653
-21,0,-23.3653
-20,0,-23.3653
-19,0,-23.3653
-18,0,-23.3653
-17,0,-23.3653
-16,0,-23.3653
-15,0,-23.3653
-14,0,-23.3653
-13,0,-23.3653
-12,0,-23.3653
-11,0,-23.3653
-10,0,-23.3653
-9,0,-23.3653
-8,0,-23.3653
-7,0,-23.3653
-6,0,-23.3653
-5,0,-23.3653
-4,0,-23.3653
-3,0,-23.3653
-2,0,-23.3653
-1,0,-23.3653
0,0,-23.3653
1,0,-23.3653
2,0,-23.3653
3,0,-23.3653
4,0,-23.3653
5,0,-23.3653
6,0,-23.3653
7,0,-23.3653
8,0,-23.3653
9,0,-23.3653
10,0,-23.3653
11,0,-23.3653
12,0,-23.3653
13,0,-23.3653
14,0,-23.3653
15,0,-23.3653
16,0,-23.3653
17,0,-23.3653
18,0,-23.3653
19,0,-23.3653
20,0,-23.3653
21,0,-23.3653
22,0,-23.3653
23,0,-23.3653
24,0,-23.3653
25,0,-23.3653
26,0,-23.3653
27,0,-23.3653
28,0,-23.3653
29,0,-23.3653
30,0,-23.3653
31,0,-23.3653
32,0,-23.3653
33,0,-23.3653
34,0,-23.3653
35,0,-23.3653
36,0,-23.3653
37,0,-23.3653
38,0,-23.3653
39,0,-23.3653
40,0,-23.3653
41,0,-23.3653
42,0,-23.3653
43,0,-23.3653
44,0,-23.3653
45,0,-23.3653
46,0,-23.3653
47,0,-23.3653
48,0,-23.3653
49,0,-23.3653
50,0,-23.3653
51,0,-23.3653
52,0,-23.3653
53,0,-23.3653
54,0,-23.3653
55,0,-23.3653
56,0,-23.3653
57,0,-23.3653
58,0,-23.3653
59,0,-23.3653
60,0,-23.3653
61,0,-23.3653
62,0,-23.3653
63,0,-23.3653
64,0,-23.3653
65,0,-23.3653
66,0,-23.3653
67,0,-23.3653
68,0,-23.3653
69,0,-23.3653
70,0,-23.3653
71,0,-23.3653
72,0,-23.3653
73,0,-23.3653
74,0,-23.3653
75,0,-23.3653
76,0,-23.3653
77,0,-23.3653
78,0,-23.3653
79,0,-23.3653
80,0,-23.3653
81,0,-23.3653
82,0,-23.3653
83,0,-23.3653
84,0,-23.3653
85,0,-23.3653
86,0,-23.3653
87,0,-23.3653
88,0,-23.3653
89,0,-23.3653
90,0,-59.5435
-90,1,-23.7428
-89,1,-55.47
-88,1,-55.4715
-87,1,-55.4741
-86,1,-55.4745
-85,1,-55.4737
-84,1,-55.4727
-83,1,-55.4714
-82,1,-55.4701
-81,1,-55.4685
-80,1,-55.4668
-79,1,-55.4648
-78,1,-55.4627
-77,1,-55.4605
-76,1,-55.458
-75,1,-55.4554
-74,1,-55.4527
-73,1,-55.4497
-72,1,-55.4467
-71,1,-55.4434
-70,1,-55.44
-69,1,-55.4365
-68,1,-55.4328
-67,1,-55.429
-66,1,-55.4251
-65,1,-55.421
-64,1,-55.4168
-63,1,-55.4125
-62,1,-55.4081
-61,1,-55.4036
-60,1,-55.3989
-59,1,-55.3942
-58,1,-55.3894
-57,1,-55.3845
-56,1,-55.3795
-55,1,-55.3744
-54,1,-55.3693
-53,1,-55.3641
-52,1,-55.3589
-51,1,-55.3536
-50,1,-55.3483
-49,1,-55.3429
-48,1,-55.3375
-47,1,-55.3321
-46,1,-55.3267
-45,1,-55.3212
-44,1,-55.3158
-43,1,-55.3103
-42,1,-55.3049
-41,1,-55.2995
-40,1,-55.2941
-39,1,-55.2887
-38,1,-55.2834
-37,1,-55.2781
-36,1,-55.2729
-35,1,-55.2677
-34,1,-55.2626
-33,1,-55.2576
-32,1,-55.2526
-31,1,-55.2477
-30,1,-55.2429
-29,1,-55.2382
-28,1,-55.2336
-27,1,-55.2291
-26,1,-55.2247
-25,1,-55.2205
-24,1,-55.2163
-23,1,-55.2123
-22,1,-55.2084
-21,1,-55.2046
-20,1,-55.201
-19,1,-55.1976
-18,1,-55.1943
-17,1,-55.1911
-16,1,-55.1881
-15,1,-55.1853
-14,1,-55.1826
-13,1,-55.1801
-12,1,-55.1777
-11,1,-55.1756
-10,1,-55.1736
-9,1,-55.1718
-8,1,-55.1702
-7,1,-55.1688
-6,1,-55.1675
-5,1,-55.1665
-4,1,-55.1656
-3,1,-55.1649
-2,1,-55.1645
-1,1,-55.1642
0,1,-55.1641
1,1,-55.1642
2,1,-55.1645
3,1,-55.1649
4,1,-55.1656
5,1,-55.1665
6,1,-55.1675
7,1,-55.1688
8,1,-55.1702
9,1,-55.1718
10,1,-55.1736
11,1,-55.1756
12,1,-55.1777
13,1,-55.1801
14,1,-55.1826
15,1,-55.1853
16,1,-55.1881
17,1,-55.1911
18,1,-55.1943
19,1,-55.1976
20,1,-55.201
21,1,-55.2046
22,1,-55.2084
23,1,-55.2123
24,1,-55.2163
25,1,-55.2205
26,1,-55.2247
27,1,-55.2291
28,1,-55.2336
29,1,-55.2382
30,1,-55.2429
31,1,-55.2477
32,1,-55.2526
33,1,-55.2576
34,1,-55.2626
35,1,-55.2677
36,1,-55.2729
37,1,-55.2781
38,1,-55.2834
39,1,-55.2887
40,1,-55.2941
