Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,3.67273
-89,0,3.67273
-88,0,3.67273
-87,0,3.67273
-86,0,3.67273
-85,0,3.67273
-84,0,3.67273
-83,0,3.67273
-82,0,3.67273
-81,0,3.67273
-80,0,3.67273
-79,0,3.67273
-78,0,3.67273
-77,0,3.67273
-76,0,3.67273
-75,0,3.67273
-74,0,3.67273
-73,0,3.67273
-72,0,3.67273
-71,0,3.67273
-70,0,3.67273
-69,0,3.67273
-68,0,3.67273
-67,0,3.67273
-66,0,3.67273
-65,0,3.67273
-64,0,3.67273
-63,0,3.67273
-62,0,3.67273
-61,0,3.67273
-60,0,3.67273
-59,0,3.67273
-58,0,3.67273
-57,0,3.67273
-56,0,3.67273
-55,0,3.67273
-54,0,3.67273
-53,0,3.67273
-52,0,3.67273
-51,0,3.67273
-50,0,3.67273
-49,0,3.67273
-48,0,3.67273
-47,0,3.67273
-46,0,3.67273
-45,0,3.67273
-44,0,3.67273
-43,0,3.67273
-42,0,3.67273
-41,0,3.67273
-40,0,3.67273
-39,0,3.67273
-38,0,3.67273
-37,0,3.67273
-36,0,3.67273
-35,0,3.67273
-34,0,3.67273
-33,0,3.67273
-32,0,3.67273
-31,0,3.67273
-30,0,3.67273
-29,0,3.67273
-28,0,3.67273
-27,0,3.67273
-26,0,3.67273
-25,0,3.67273
-24,0,3.67273
-23,0,3.67273
-22,0,3.67273
-21,0,3.67273
-20,0,3.67273
-19,0,3.67273
-18,0,3.67273
-17,0,3.67273
-16,0,3.67273
-15,0,3.67273
-14,0,3.67273
-13,0,3.67273
-12,0,3.67273
-11,0,3.67273
-10,0,3.67273
-9,0,3.67273
-8,0,3.67273
-7,0,3.67273
-6,0,3.67273
-5,0,3.67273
-4,0,3.67273
-3,0,3.67273
-2,0,3.67273
-1,0,3.67273
0,0,3.67273
1,0,3.67273
2,0,3.67273
3,0,3.67273
4,0,3.67273
5,0,3.67273
6,0,3.67273
7,0,3.67273
8,0,3.67273
9,0,3.67273
10,0,3.67273
11,0,3.67273
12,0,3.67273
13,0,3.67273
14,0,3.67273
15,0,3.67273
16,0,3.67273
17,0,3.67273
18,0,3.67273
19,0,3.67273
20,0,3.67273
21,0,3.67273
22,0,3.67273
23,0,3.67273
24,0,3.67273
25,0,3.67273
26,0,3.67273
27,0,3.67273
28,0,3.67273
29,0,3.67273
30,0,3.67273
31,0,3.67273
32,0,3.67273
33,0,3.67273
34,0,3.67273
35,0,3.67273
36,0,3.67273
37,0,3.67273
38,0,3.67273
39,0,3.67273
40,0,3.67273
41,0,3.67273
42,0,3.67273
43,0,3.67273
44,0,3.67273
45,0,3.67273
46,0,3.67273
47,0,3.67273
48,0,3.67273
49,0,3.67273
50,0,3.67273
51,0,3.67273
52,0,3.67273
53,0,3.67273
54,0,3.67273
55,0,3.67273
56,0,3.67273
57,0,3.67273
58,0,3.67273
59,0,3.67273
60,0,3.67273
61,0,3.67273
62,0,3.67273
63,0,3.67273
64,0,3.67273
65,0,3.67273
66,0,3.67273
67,0,3.67273
68,0,3.67273
69,0,3.67273
70,0,3.67273
71,0,3.67273
72,0,3.67273
73,0,3.67273
74,0,3.67273
75,0,3.67273
76,0,3.67273
77,0,3.67273
78,0,3.67273
79,0,3.67273
80,0,3.67273
81,0,3.67273
82,0,3.67273
83,0,3.67273
84,0,3.67273
85,0,3.67273
86,0,3.67273
87,0,3.67273
88,0,3.67273
89,0,3.67273
90,0,3.67273
-90,1,-29.2732
-89,1,-29.3441
-88,1,-29.5495
-87,1,-29.8999
-86,1,-30.4146
-85,1,-31.1258
-84,1,-31.7567
-83,1,-32.9788
-82,1,-34.6362
-81,1,-36.9637
-80,1,-40.4061
-79,1,-45.0727
-78,1,-43.8731
-77,1,-38.4673
-76,1,-34.4602
-75,1,-31.4751
-74,1,-29.109
-73,1,-27.1503
-72,1,-25.4816
-71,1,-24.0327
-70,1,-22.7592
-69,1,-21.6317
-68,1,-20.6301
-67,1,-19.7407
-66,1,-18.9541
-65,1,-18.2641
-64,1,-17.6674
-63,1,-17.1625
-62,1,-16.7501
-61,1,-16.4324
-60,1,-16.2137
-59,1,-16.1009
-58,1,-16.1034
-57,1,-16.2342
-56,1,-16.5111
-55,1,-16.9591
-54,1,-17.6139
-53,1,-18.5295
-52,1,-19.7935
-51,1,-21.5602
-50,1,-24.1382
-49,1,-28.3092
-48,1,-37.014
-47,1,-34.7004
-46,1,-26.7333
-45,1,-22.4862
-44,1,-19.6571
-43,1,-17.5962
-42,1,-16.0406
-41,1,-14.8628
-40,1,-13.9945
-39,1,-13.4005
-38,1,-13.0666
-37,1,-12.9953
-36,1,-13.2059
-35,1,-13.74
-34,1,-14.674
-33,1,-16.1508
-32,1,-18.4661
-31,1,-22.382
-30,1,-31.1902
-29,1,-30.5042
-28,1,-21.297
-27,1,-16.8132
-26,1,-13.9132
-25,1,-11.8613
-24,1,-10.376
-23,1,-9.32622
-22,1,-8.65125
-21,1,-8.33115
-20,1,-8.37782
-19,1,-8.84067
-18,1,-9.82881
-17,1,-11.5752
-16,1,-14.6569
-15,1,-21.2209
-14,1,-29.5347
-13,1,-15.6443
-12,1,-10.1003
-11,1,-6.53751
-10,1,-3.9181
-9,1,-1.87422
-8,1,-0.232493
-7,1,1.10357
-6,1,2.19176
-5,1,3.06925
-4,1,3.76134
-3,1,4.28518
-2,1,4.65187
-1,1,4.86844
0,1,4.93904
1,1,4.86544
2,1,4.64656
3,1,4.26161
4,1,3.73521
5,1,3.03968
6,1,2.15725
7,1,1.06315
8,1,-0.280958
9,1,-1.93396
10,1,-3.96634
11,1,-6.60303
12,1,-10.1967
13,1,-15.8162
14,1,-30.599
15,1,-21.0967
16,1,-14.6212
17,1,-11.5761
18,1,-9.85314
19,1,-8.88437
20,1,-8.43981
21,1,-8.41271
22,1,-8.75496
23,1,-9.4563
24,1,-10.5415
25,1,-12.0778
26,1,-14.2078
27,1,-17.2478
28,1,-22.0592
29,1,-32.8462
30,1,-29.2806
31,1,-21.6048
32,1,-17.9716
33,1,-15.7838
34,1,-14.3797
35,1,-13.4937
36,1,-12.9954
37,1,-12.814
38,1,-12.9111
39,1,-13.2694
40,1,-13.8889
41,1,-14.7861
42,1,-15.9997
43,1,-17.6035
44,1,-19.7386
45,1,-22.7001
46,1,-27.2558
47,1,-36.6418
48,1,-35.7701
49,1,-27.4993
50,1,-23.5441
51,1,-21.0722
52,1,-19.368
53,1,-18.1448
54,1,-17.2579
55,1,-16.6248
56,1,-16.1937
57,1,-15.9297
58,1,-15.8085
59,1,-15.8132
60,1,-15.9315
61,1,-16.1545
62,1,-16.4757
63,1,-16.8906
64,1,-17.3964
65,1,-17.9927
66,1,-18.6811
67,1,-19.4649
68,1,-20.3503
69,1,-21.3462
70,1,-22.4656
71,1,-23.7281
72,1,-25.1619
73,1,-26.8098
74,1,-28.7383
75,1,-31.0582
76,1,-33.9664
77,1,-37.8353
78,1,-43.0979
79,1,-45.2014
80,1,-40.6814
81,1,-37.119
82,1,-34.7155
83,1,-33.012
84,1,-31.7602
85,1,-30.8253
86,1,-30.1291
87,1,-29.6235
88,1,-29.2786
89,1,-29.076
90,1,-29.0057
-90,2,-26.8692
-89,2,-26.9438
-88,2,-27.1579
-87,2,-27.5248
-86,2,-27.9654
-85,2,-28.7181
-84,2,-29.751
-83,2,-31.1762
-82,2,-33.2048
-81,2,-36.2941
-80,2,-41.6693
-79,2,-47.2497
-78,2,-38.8287
-77,2,-33.4824
-76,2,-29.9528
-75,2,-27.3366
-74,2,-25.2801
-73,2,-23.6176
-72,2,-22.2619
-71,2,-21.1652
-70,2,-20.3012
-69,2,-19.6601
-68,2,-19.2436
-67,2,-19.0642
-66,2,-19.1478
-65,2,-19.5382
-64,2,-20.3085
-63,2,-21.587
-62,2,-23.6213
-61,2,-27.0001
-60,2,-33.8637
-59,2,-42.8725
-58,2,-29.2298
-57,2,-24.1911
-56,2,-21.2512
-55,2,-19.3927
-54,2,-18.2843
-53,2,-17.8093
-52,2,-17.9582
-51,2,-18.8178
-50,2,-20.635
-49,2,-24.0773
-48,2,-31.9643
-47,2,-35.8039
-46,2,-24.7101
-45,2,-20.312
-44,2,-17.9286
-43,2,-16.7396
-42,2,-16.5215
-41,2,-17.3092
-40,2,-19.4316
-39,2,-24.0536
-38,2,-41.3552
-37,2,-25.9199
-36,2,-19.4589
-35,2,-16.3805
-34,2,-14.9294
-33,2,-14.7165
-32,2,-15.7921
-31,2,-18.7183
-30,2,-26.1579
-29,2,-30.3242
-28,2,-19.1924
-27,2,-15.018
-26,2,-13.1056
-25,2,-12.7185
-24,2,-13.8678
-23,2,-17.3203
-22,2,-28.0101
-21,2,-22.4533
-20,2,-14.5321
-19,2,-11.1053
-18,2,-9.6775
-17,2,-9.83523
-16,2,-11.9002
-15,2,-17.8963
-14,2,-26.9602
-13,2,-12.6648
-12,2,-7.81568
-11,2,-5.52043
-10,2,-4.92052
-9,2,-6.12458
-8,2,-10.5738
-7,2,-31.2086
-6,2,-7.00964
-5,2,-0.597361
-4,2,3.16078
-3,2,5.614
-2,2,7.19576
-1,2,8.0915
0,2,8.38214
1,2,8.09268
2,2,7.18675
3,2,5.60413
4,2,3.14663
5,2,-0.601051
6,2,-7.03504
7,2,-32.2159
8,2,-10.5224
9,2,-6.0994
10,2,-4.9102
11,2,-5.52673
12,2,-7.8505
13,2,-12.7751
14,2,-27.8049
15,2,-17.5682
16,2,-11.7148
17,2,-9.68939
18,2,-9.55396
19,2,-11.0032
20,2,-14.4693
21,2,-22.562
22,2,-27.4775
23,2,-17.0399
24,2,-13.6339
25,2,-12.5033
26,2,-12.8963
27,2,-14.808
28,2,-18.9671
29,2,-29.9929
30,2,-26.1102
31,2,-18.6024
32,2,-15.6673
33,2,-14.5971
34,2,-14.8265
35,2,-16.3115
36,2,-19.4663
37,2,-26.1809
38,2,-38.5762
39,2,-23.4957
40,2,-19.0393
41,2,-16.9794
42,2,-16.2271
43,2,-16.4749
44,2,-17.6975
45,2,-20.1331
46,2,-24.653
