alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,77.1274642944
2,2,0,95,119.955917358
2,2,0,100,122.049659729
2,2,0,105,116.049209595
2,2,0,110,118.111755371
2,2,5,90,123.564849854
2,2,5,95,123.830345154
2,2,5,100,121.455230713
2,2,5,105,119.923789978
2,2,5,110,261.800819397
2,2,10,90,121.626708984
2,2,10,95,115.689041138
2,2,10,100,113.407760620
2,2,10,105,117.782775879
2,2,10,110,115.595115662
2,2,15,90,119.438941956
2,2,15,95,119.782569885
2,2,15,100,118.016883850
2,2,15,105,115.454284668
2,2,15,110,114.063606262
2,2,20,90,119.422973633
2,2,20,95,113.313529968
2,2,20,100,115.438545227
2,2,20,105,114.172836304
2,2,20,110,113.532226563
2,4,0,90,73.3130874634
2,4,0,95,120.250961304
2,4,0,100,120.157196045
2,4,0,105,115.594612122
2,4,0,110,107.657058716
2,4,5,90,111.672683716
2,4,5,95,125.625854492
2,4,5,100,121.594573975
2,4,5,105,113.782035828
2,4,5,110,117.781990051
2,4,10,90,117.312957764
2,4,10,95,122.453941345
2,4,10,100,120.242713928
2,4,10,105,178.831756592
2,4,10,110,115.713867188
2,4,15,90,115.635688782
2,4,15,95,117.869171143
2,4,15,100,118.228157043
2,4,15,105,115.352203369
2,4,15,110,111.148277283
2,4,20,90,118.289649963
2,4,20,95,113.631797791
2,4,20,100,105.568702698
2,4,20,105,147.960754395
2,4,20,110,103.474014282
2,6,0,90,75.0189437866
2,6,0,95,125.990043640
2,6,0,100,119.442199707
2,6,0,105,120.067176819
2,6,0,110,119.582244873
2,6,5,90,125.644920349
2,6,5,95,123.722503662
2,6,5,100,113.612762451
2,6,5,105,118.440689087
2,6,5,110,117.503082275
2,6,10,90,113.237052917
2,6,10,95,121.924682617
2,6,10,100,111.580467224
2,6,10,105,160.128280640
2,6,10,110,103.470596313
2,6,15,90,122.049110413
2,6,15,95,113.548728943
2,6,15,100,109.470542908
2,6,15,105,107.954704285
2,6,15,110,113.657920837
2,6,20,90,116.220329285
2,6,20,95,110.017089844
2,6,20,100,159.986343384
2,6,20,105,107.376289368
2,6,20,110,105.579330444
2,8,0,90,75.3602066040
2,8,0,95,114.485542297
2,8,0,100,111.501129150
2,8,0,105,117.516761780
2,8,0,110,109.391662598
2,8,5,90,101.094619751
2,8,5,95,125.391738892
2,8,5,100,118.172821045
2,8,5,105,119.547874451
2,8,5,110,117.860313416
2,8,10,90,109.485252380
2,8,10,95,107.610198975
2,8,10,100,108.047676086
2,8,10,105,105.407043457
2,8,10,110,105.235084534
2,8,15,90,117.797706604
2,8,15,95,120.141426086
2,8,15,100,117.693038940
2,8,15,105,103.448318481
2,8,15,110,103.445861816
2,8,20,90,95.2701950073
2,8,20,95,105.614318848
2,8,20,100,105.317222595
2,8,20,105,107.410942078
2,8,20,110,105.395042419
4,2,0,90,73.6280593872
4,2,0,95,120.051635742
4,2,0,100,121.832572937
4,2,0,105,121.613822937
4,2,0,110,108.207237244
4,2,5,90,125.769996643
4,2,5,95,119.816413879
4,2,5,100,122.113319397
4,2,5,105,119.722419739
4,2,5,110,119.644172668
4,2,10,90,126.003570557
4,2,10,95,122.331481934
4,2,10,100,119.565719604
4,2,10,105,117.596687317
4,2,10,110,116.471649170
4,2,15,90,123.893623352
4,2,15,95,112.158912659
4,2,15,100,122.018333435
4,2,15,105,115.830619812
4,2,15,110,115.314956665
4,2,20,90,113.408523560
4,2,20,95,113.517913818
4,2,20,100,113.424003601
4,2,20,105,114.439643860
4,2,20,110,113.439521790
4,4,0,90,77.2356948853
4,4,0,95,111.517547607
4,4,0,100,122.377029419
4,4,0,105,121.580131531
4,4,0,110,118.017456055
4,4,5,90,113.642402649
4,4,5,95,111.782905579
4,4,5,100,125.704956055
4,4,5,105,117.532913208
4,4,5,110,115.486595154
4,4,10,90,123.845382690
4,4,10,95,117.735885620
4,4,10,100,116.329589844
4,4,10,105,109.907569885
4,4,10,110,111.688858032
4,4,15,90,109.860671997
4,4,15,95,112.037200928
4,4,15,100,117.663459778
4,4,15,105,111.990562439
4,4,15,110,105.365066528
4,4,20,90,107.693046570
4,4,20,95,107.770973206
4,4,20,100,115.661827087
4,4,20,105,112.051918030
4,4,20,110,112.208122253
4,6,0,90,111.207839966
4,6,0,95,124.176856995
4,6,0,100,111.426315308
4,6,0,105,120.066940308
4,6,0,110,115.801063538
4,6,5,90,125.660591125
4,6,5,95,101.644233704
4,6,5,100,115.535049438
4,6,5,105,119.956794739
4,6,5,110,119.737907410
4,6,10,90,114.221992493
4,6,10,95,107.706047058
4,6,10,100,111.643592834
4,6,10,105,111.815376282
4,6,10,110,109.924522400
4,6,15,90,121.815460205
4,6,15,95,113.799491882
4,6,15,100,118.283828735
4,6,15,105,111.611793518
4,6,15,110,115.611686707
4,6,20,90,113.580375671
4,6,20,95,117.736663818
4,6,20,100,109.470748901
4,6,20,105,107.876953125
4,6,20,110,105.736206055
4,8,0,90,114.079986572
4,8,0,95,132.470924377
4,8,0,100,129.767646790
4,8,0,105,121.704917908
4,8,0,110,119.595558167
4,8,5,90,106.985931396
4,8,5,95,122.486053467
4,8,5,100,121.814193726
4,8,5,105,119.641891479
4,8,5,110,116.017089844
4,8,10,90,125.898414612
4,8,10,95,110.006385803
4,8,10,100,162.242721558
4,8,10,105,120.335235596
4,8,10,110,107.442939758
