alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,24.2506637573
2,2,0,95,36.5951614380
2,2,0,100,36.5324249268
2,2,0,105,36.5639343262
2,2,0,110,36.4705352783
2,2,5,90,36.6262588501
2,2,5,95,36.4552307129
2,2,5,100,36.3451232910
2,2,5,105,34.6726608276
2,2,5,110,34.6414413452
2,2,10,90,34.4226684570
2,2,10,95,35.0948867798
2,2,10,100,35.2204818726
2,2,10,105,35.3604965210
2,2,10,110,34.5950698853
2,2,15,90,36.6265411377
2,2,15,95,35.0016708374
2,2,15,100,34.3919754028
2,2,15,105,34.7982559204
2,2,15,110,34.4701156616
2,2,20,90,34.6263198853
2,2,20,95,34.8607254028
2,2,20,100,34.4075775146
2,2,20,105,34.4387969971
2,2,20,110,32.3450012207
2,4,0,90,24.2508850098
2,4,0,95,38.1264419556
2,4,0,100,34.5638275146
2,4,0,105,36.0950775146
2,4,0,110,36.4700851440
2,4,5,90,49.0174331665
2,4,5,95,36.2357406616
2,4,5,100,36.8138046265
2,4,5,105,34.4700317383
2,4,5,110,34.5012512207
2,4,10,90,36.5481719971
2,4,10,95,36.4856567383
2,4,10,100,36.4700622559
2,4,10,105,34.4543838501
2,4,10,110,34.4387054443
2,4,15,90,32.7355422974
2,4,15,95,32.7667312622
2,4,15,100,36.4543991089
2,4,15,105,32.3917694092
2,4,15,110,33.0011749268
2,4,20,90,36.3137207031
2,4,20,95,34.5011978149
2,4,20,100,32.4074020386
2,4,20,105,34.7824172974
2,4,20,110,32.3760604858
2,6,0,90,23.0007858276
2,6,0,95,33.0167236328
2,6,0,100,36.4700088501
2,6,0,105,34.2824325562
2,6,0,110,32.7355117798
2,6,5,90,34.7667694092
2,6,5,95,36.4387054443
2,6,5,100,34.4386596680
2,6,5,105,35.1105117798
2,6,5,110,33.1104888916
2,6,10,90,34.4698715210
2,6,10,95,36.6418228149
2,6,10,100,36.5636901855
2,6,10,105,32.7197952271
2,6,10,110,32.6728897095
2,6,15,90,36.9699172974
2,6,15,95,31.0634918213
2,6,15,100,36.3761825562
2,6,15,105,32.5947647095
2,6,15,110,34.2822875977
2,6,20,90,33.1259918213
