alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,31.1107559204
2,2,0,95,36.9708480835
2,2,0,100,168.735984802
2,2,0,105,28.7265701294
2,2,0,110,29.4767227173
2,2,5,90,231.941375732
2,2,5,95,168.118911743
2,2,5,100,31.0486145020
2,2,5,105,182.525680542
2,2,5,110,27.2358245850
2,2,10,90,23.0012283325
2,2,10,95,163.899162292
2,2,10,100,69.2378921509
2,2,10,105,24.4699859619
2,2,10,110,37.0175247192
2,2,15,90,24.7668380737
2,2,15,95,26.9230957031
2,2,15,100,30.3921661377
2,2,15,105,38.6269226074
2,2,15,110,32.7828750610
2,2,20,90,26.3606643677
2,2,20,95,24.5012359619
2,2,20,100,69.1752853394
2,2,20,105,83.1447143555
2,2,20,110,32.5484466553
2,4,0,90,30.2983703613
2,4,0,95,32.4546737671
2,4,0,100,25.0011978149
2,4,0,105,25.0636825562
2,4,0,110,29.0170135498
2,4,5,90,77.3318252563
2,4,5,95,68.9095230103
2,4,5,100,26.3136978149
2,4,5,105,26.5637283325
2,4,5,110,30.3607940674
2,4,10,90,22.3291473389
2,4,10,95,52.5805435181
2,4,10,100,101.145317078
2,4,10,105,30.5010299683
2,4,10,110,32.3924102783
2,4,15,90,26.2824325562
2,4,15,95,26.4699096680
2,4,15,100,42.2206726074
2,4,15,105,32.6264801025
2,4,15,110,35.0797042847
2,4,20,90,26.1105270386
2,4,20,95,24.9542007446
2,4,20,100,56.6743621826
2,4,20,105,67.0811157227
2,4,20,110,30.4860382080
2,6,0,90,32.2201309204
2,6,0,95,50.4552841187
2,6,0,100,29.1106338501
2,6,0,105,28.3137130737
2,6,0,110,30.2044143677
2,6,5,90,96.0666656494
2,6,5,95,60.8150177002
2,6,5,100,29.4543533325
2,6,5,105,22.4540939331
2,6,5,110,32.4231948853
2,6,10,90,22.3134002686
2,6,10,95,60.5337600708
2,6,10,100,62.8619232178
2,6,10,105,26.5010528564
2,6,10,110,30.9231109619
2,6,15,90,24.1572341919
2,6,15,95,26.3292160034
2,6,15,100,32.8920135498
2,6,15,105,32.5794448853
2,6,15,110,32.4856262207
2,6,20,90,26.4073104858
2,6,20,95,28.4699020386
2,6,20,100,79.0344085693
2,6,20,105,83.1126785278
2,6,20,110,36.5639572144
2,8,0,90,30.7043457031
2,8,0,95,35.1419525146
2,8,0,100,32.5012512207
2,8,0,105,26.4229125977
2,8,0,110,31.1730804443
2,8,5,90,89.2221527100
2,8,5,95,64.8461837769
2,8,5,100,26.4541549683
2,8,5,105,25.1571578979
2,8,5,110,32.4699783325
2,8,10,90,26.4072647095
2,8,10,95,44.3141250610
2,8,10,100,77.0184783936
2,8,10,105,30.2511291504
2,8,10,110,32.5012130737
2,8,15,90,26.3759613037
2,8,15,95,28.4697723389
2,8,15,100,32.4855575562
2,8,15,105,32.6730499268
2,8,15,110,32.5480194092
2,8,20,90,26.1102523804
2,8,20,95,26.3134155273
2,8,20,100,69.5805664063
2,8,20,105,101.441101074
2,8,20,110,32.5636062622
