alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,1437.22381592
2,2,0,95,1388.49010468
2,2,0,100,1392.41108704
2,2,0,105,1412.28562927
2,2,0,110,1244.79835510
2,2,5,90,542.257286072
2,2,5,95,561.257461548
2,2,5,100,558.741722107
2,2,5,105,554.319679260
2,2,5,110,583.194984436
2,2,10,90,528.491081238
2,2,10,95,537.272392273
2,2,10,100,570.846466064
2,2,10,105,540.514556885
2,2,10,110,539.074226379
2,2,15,90,534.383972168
2,2,15,95,530.303398132
2,2,15,100,528.098098755
2,2,15,105,504.172851563
2,2,15,110,516.031219482
2,2,20,90,522.264427185
2,2,20,95,520.340858459
2,2,20,100,542.996871948
2,2,20,105,538.542083740
2,2,20,110,562.510604858
2,4,0,90,1455.68689728
2,4,0,95,1544.19808960
2,4,0,100,1479.72040558
2,4,0,105,1412.77571106
2,4,0,110,1299.58133698
2,4,5,90,546.341758728
2,4,5,95,569.294860840
2,4,5,100,534.981132507
2,4,5,105,543.246582031
2,4,5,110,515.979949951
2,4,10,90,518.667152405
2,4,10,95,552.605072021
2,4,10,100,514.119598389
2,4,10,105,510.244239807
2,4,10,110,577.120246887
2,4,15,90,565.025947571
2,4,15,95,578.963455200
2,4,15,100,513.977691650
2,4,15,105,547.243690491
2,4,15,110,523.899330139
2,4,20,90,562.696716309
2,4,20,95,558.883934021
2,4,20,100,548.539878845
2,4,20,105,558.399192810
2,4,20,110,530.273704529
2,6,0,90,1513.80350494
2,6,0,95,1398.50420380
2,6,0,100,1502.64569855
2,6,0,105,1480.78548431
2,6,0,110,1347.87702179
2,6,5,90,551.216613770
2,6,5,95,595.256820679
2,6,5,100,532.607757568
2,6,5,105,562.685646057
2,6,5,110,557.573196411
2,6,10,90,579.025444031
2,6,10,95,558.756118774
2,6,10,100,571.379814148
2,6,10,105,560.720924377
2,6,10,110,532.326889038
2,6,15,90,546.732345581
2,6,15,95,569.825744629
2,6,15,100,587.621925354
2,6,15,105,542.696533203
2,6,15,110,543.132835388
2,6,20,90,574.948463440
2,6,20,95,510.098121643
2,6,20,100,534.723167419
2,6,20,105,552.707252502
2,6,20,110,549.112487793
2,8,0,90,1558.89278412
2,8,0,95,1678.03133392
2,8,0,100,1536.52271271
2,8,0,105,1438.70455170
2,8,0,110,1495.57810974
2,8,5,90,629.793693542
2,8,5,95,577.323585510
2,8,5,100,596.761138916
2,8,5,105,623.558227539
2,8,5,110,557.228576660
2,8,10,90,595.916503906
2,8,10,95,585.650505066
