alpha11,beta11,az_angle,el_angle,simulation_time
4,2,0,90,32.4213562012
4,2,0,95,32.6244354248
4,2,0,100,33.1557083130
4,2,0,105,32.6399230957
4,2,0,110,32.6241760254
4,2,5,90,32.9993591309
4,2,5,95,34.5150909424
4,2,5,100,34.6872329712
4,2,5,105,34.5932312012
4,2,5,110,34.7180786133
4,2,10,90,32.9368057251
4,2,10,95,34.5149993896
4,2,10,100,34.6088333130
4,2,10,105,34.5928726196
4,2,10,110,34.5148696899
4,2,15,90,34.2804489136
4,2,15,95,34.4836883545
4,2,15,100,34.6871566772
4,2,15,105,34.4680938721
4,2,15,110,34.5619125366
4,2,20,90,33.1084365845
4,2,20,95,34.4525604248
4,2,20,100,34.6403350830
4,2,20,105,34.5775451660
4,2,20,110,34.4837875366
4,4,0,90,32.4210586548
4,4,0,95,32.8898010254
4,4,0,100,32.8588027954
4,4,0,105,32.6556320190
4,4,0,110,32.8901138306
4,4,5,90,33.1088790894
4,4,5,95,34.4679489136
4,4,5,100,34.6085357666
4,4,5,105,34.4837722778
4,4,5,110,34.4994964600
4,4,10,90,33.0151824951
4,4,10,95,34.5150604248
4,4,10,100,34.6873626709
4,4,10,105,34.5307388306
4,4,10,110,34.5151824951
4,4,15,90,32.8429183960
4,4,15,95,34.5460052490
4,4,15,100,34.6713027954
4,4,15,105,34.5302734375
4,4,15,110,34.4677505493
4,4,20,90,32.4994201660
4,4,20,95,33.0772323608
4,4,20,100,34.3585586548
4,4,20,105,33.0623321533
4,4,20,110,33.1398239136
4,6,0,90,32.6398620605
4,6,0,95,32.5931015015
4,6,0,100,32.9368133545
4,6,0,105,32.7026214600
4,6,0,110,32.8741760254
4,6,5,90,33.2338027954
4,6,5,95,34.5302505493
4,6,5,100,34.6712417603
4,6,5,105,34.4836273193
4,6,5,110,34.5616683960
4,6,10,90,32.8431854248
4,6,10,95,34.4992523193
4,6,10,100,34.7491149902
4,6,10,105,34.5459747314
4,6,10,110,34.4679412842
4,6,15,90,32.4682083130
4,6,15,95,33.0617141724
4,6,15,100,32.9835281372
4,6,15,105,32.8587646484
4,6,15,110,32.8427886963
4,6,20,90,32.5308303833
4,6,20,95,32.6709442139
4,6,20,100,32.8116073608
4,6,20,105,32.7647628784
4,6,20,110,32.5305786133
4,8,0,90,32.5306243896
4,8,0,95,32.8432312012
4,8,0,100,32.9056472778
4,8,0,105,32.4212493896
4,8,0,110,32.7336959839
4,8,5,90,34.3432693481
4,8,5,95,34.6242599487
4,8,5,100,34.7334213257
4,8,5,105,34.4212875366
4,8,5,110,34.5929870605
4,8,10,90,32.7492446899
4,8,10,95,34.6240539551
4,8,10,100,34.7497329712
4,8,10,105,34.6552734375
4,8,10,110,34.4524688721
4,8,15,90,32.4839172363
4,8,15,95,34.5931777954
4,8,15,100,34.7026290894
4,8,15,105,34.4523086548
4,8,15,110,34.4368209839
4,8,20,90,32.4371109009
4,8,20,95,34.5460662842
4,8,20,100,34.5772399902
4,8,20,105,34.3742370605
4,8,20,110,34.3740921021
6,2,0,90,32.4991760254
6,2,0,95,34.3117218018
6,2,0,100,32.8275833130
6,2,0,105,32.9053344727
6,2,0,110,32.7804031372
6,2,5,90,34.4836807251
6,2,5,95,34.7806243896
6,2,5,100,34.6244735718
6,2,5,105,34.4994659424
6,2,5,110,34.4990844727
6,2,10,90,34.4993133545
6,2,10,95,34.8115463257
6,2,10,100,34.7497558594
6,2,10,105,34.5772705078
6,2,10,110,34.5146865845
6,2,15,90,34.3272705078
6,2,15,95,34.4995193481
6,2,15,100,34.7339401245
6,2,15,105,35.1245574951
6,2,15,110,34.4994430542
6,2,20,90,32.8743820190
6,2,20,95,34.5150451660
6,2,20,100,34.7334899902
6,2,20,105,34.4523010254
6,2,20,110,34.5617752075
6,4,0,90,31.1871490479
6,4,0,95,32.5463409424
6,4,0,100,32.6241302490
6,4,0,105,32.4054412842
6,4,0,110,32.4994430542
6,4,5,90,34.5932235718
6,4,5,95,34.9210586548
6,4,5,100,34.7180938721
6,4,5,105,34.5305938721
6,4,5,110,34.5930633545
6,4,10,90,34.5776596069
6,4,10,95,34.7961578369
6,4,10,100,35.0149612427
6,4,10,105,34.4523544312
6,4,10,110,34.5150146484
6,4,15,90,32.6402130127
6,4,15,95,34.5149612427
6,4,15,100,33.3432540894
6,4,15,105,34.5461807251
6,4,15,110,34.3744506836
6,4,20,90,32.5147323608
6,4,20,95,32.6245269775
6,4,20,100,33.2338943481
6,4,20,105,32.7024688721
6,4,20,110,32.9664001465
6,6,0,90,32.4976272583
6,6,0,95,32.5445022583
6,6,0,100,32.6697235107
6,6,0,105,32.5603332520
6,6,0,110,32.6228942871
6,6,5,90,34.5288085938
6,6,5,95,36.5442810059
6,6,5,100,34.7637252808
6,6,5,105,34.9038848877
6,6,5,110,34.5448074341
6,6,10,90,32.9510498047
6,6,10,95,34.4353332520
6,6,10,100,34.7165145874
6,6,10,105,34.4664230347
6,6,10,110,34.4823150635
6,6,15,90,32.4976730347
6,6,15,95,33.1382751465
6,6,15,100,33.0607299805
6,6,15,105,32.9510040283
6,6,15,110,32.6388092041
6,6,20,90,32.5449371338
6,6,20,95,32.5763397217
6,6,20,100,32.7328338623
6,6,20,105,32.5762557983
6,6,20,110,32.5607376099
6,8,0,90,34.8731536865
6,8,0,95,34.9510040283
6,8,0,100,34.7952346802
6,8,0,105,34.5915603638
6,8,0,110,34.6076126099
6,8,5,90,34.5288467407
6,8,5,95,36.4043121338
6,8,5,100,34.9360351563
6,8,5,105,34.6231384277
6,8,5,110,34.5609741211
6,8,10,90,32.5140991211
