alpha11,beta11,az_angle,el_angle,simulation_time
4,2,0,90,14.5185546875
4,2,0,95,12.8799362183
4,2,0,100,12.6600341797
4,2,0,105,12.9884414673
4,2,0,110,13.0198364258
4,2,5,90,12.8803253174
4,2,5,95,14.2852096558
4,2,5,100,14.0823135376
4,2,5,105,14.3645782471
4,2,5,110,14.2549743652
4,2,10,90,14.0049972534
4,2,10,95,14.1925888062
4,2,10,100,14.2237548828
4,2,10,105,14.3801574707
4,2,10,110,14.1912612915
4,2,15,90,14.1826705933
4,2,15,95,14.2551574707
4,2,15,100,14.2395401001
4,2,15,105,14.3800964355
4,2,15,110,14.3018722534
4,2,20,90,14.0365142822
4,2,20,95,14.2225952148
4,2,20,100,14.2551651001
4,2,20,105,14.3320922852
4,2,20,110,12.9271545410
4,4,0,90,12.8801269531
4,4,0,95,14.1758728027
4,4,0,100,12.6448516846
4,4,0,105,13.1356353760
4,4,0,110,12.92578125
4,4,5,90,12.9116668701
4,4,5,95,14.2384262085
4,4,5,100,14.2069549561
4,4,5,105,14.4571151733
4,4,5,110,14.3801651001
4,4,10,90,14.1000976563
4,4,10,95,14.2237930298
4,4,10,100,14.2818450928
4,4,10,105,14.0929641724
4,4,10,110,14.2336349487
4,4,15,90,14.0618133545
4,4,15,95,14.0617218018
4,4,15,100,13.9679718018
4,4,15,105,14.4211502075
4,4,15,110,13.9681243896
4,4,20,90,12.9992828369
4,4,20,95,14.1555328369
4,4,20,100,14.1710968018
4,4,20,105,14.4524002075
4,4,20,110,14.1554641724
4,6,0,90,12.7336730957
4,6,0,95,15.0461578369
4,6,0,100,14.1867141724
4,6,0,105,13.0305404663
4,6,0,110,12.9212112427
4,6,5,90,14.2336044312
4,6,5,95,14.2804794312
4,6,5,100,14.1869201660
4,6,5,105,14.4524230957
4,6,5,110,14.3118438721
4,6,10,90,12.9837265015
4,6,10,95,14.2492294312
4,6,10,100,14.1243057251
4,6,10,105,14.4057006836
4,6,10,110,14.0461044312
4,6,15,90,12.6555480957
4,6,15,95,14.2961502075
