Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-26.8955
-89,0,-26.8955
-88,0,-26.8955
-87,0,-26.8955
-86,0,-26.8955
-85,0,-26.8955
-84,0,-26.8955
-83,0,-26.8955
-82,0,-26.8955
-81,0,-26.8955
-80,0,-26.8955
-79,0,-26.8955
-78,0,-26.8955
-77,0,-26.8955
-76,0,-26.8955
-75,0,-26.8955
-74,0,-26.8955
-73,0,-26.8955
-72,0,-26.8955
-71,0,-26.8955
-70,0,-26.8955
-69,0,-26.8955
-68,0,-26.8955
-67,0,-26.8955
-66,0,-26.8955
-65,0,-26.8955
-64,0,-26.8955
-63,0,-26.8955
-62,0,-26.8955
-61,0,-26.8955
-60,0,-26.8955
-59,0,-26.8955
-58,0,-26.8955
-57,0,-26.8955
-56,0,-26.8955
-55,0,-26.8955
-54,0,-26.8955
-53,0,-26.8955
-52,0,-26.8955
-51,0,-26.8955
-50,0,-26.8955
-49,0,-26.8955
-48,0,-26.8955
-47,0,-26.8955
-46,0,-26.8955
-45,0,-26.8955
-44,0,-26.8955
-43,0,-26.8955
-42,0,-26.8955
-41,0,-26.8955
-40,0,-26.8955
-39,0,-26.8955
-38,0,-26.8955
-37,0,-26.8955
-36,0,-26.8955
-35,0,-26.8955
-34,0,-26.8955
-33,0,-26.8955
-32,0,-26.8955
-31,0,-26.8955
-30,0,-26.8955
-29,0,-26.8955
-28,0,-26.8955
-27,0,-26.8955
-26,0,-26.8955
-25,0,-26.8955
-24,0,-26.8955
-23,0,-26.8955
-22,0,-26.8955
-21,0,-26.8955
-20,0,-26.8955
-19,0,-26.8955
-18,0,-26.8955
-17,0,-26.8955
-16,0,-26.8955
-15,0,-26.8955
-14,0,-26.8955
-13,0,-26.8955
-12,0,-26.8955
-11,0,-26.8955
-10,0,-26.8955
-9,0,-26.8955
-8,0,-26.8955
-7,0,-26.8955
-6,0,-26.8955
-5,0,-26.8955
-4,0,-26.8955
-3,0,-26.8955
-2,0,-26.8955
-1,0,-26.8955
0,0,-26.8989
1,0,-26.8989
2,0,-26.8989
3,0,-26.8989
4,0,-26.8989
5,0,-26.8989
6,0,-26.8989
7,0,-26.8989
8,0,-26.8989
9,0,-26.8989
10,0,-26.8989
11,0,-26.8989
12,0,-26.8989
13,0,-26.8989
14,0,-26.8989
15,0,-26.8989
16,0,-26.8989
17,0,-26.8989
18,0,-26.8989
19,0,-26.8989
20,0,-26.8989
21,0,-26.8989
22,0,-26.8989
23,0,-26.8989
24,0,-26.8989
25,0,-26.8989
26,0,-26.8989
27,0,-26.8989
28,0,-26.8989
29,0,-26.8989
30,0,-26.8989
31,0,-26.8989
32,0,-26.8989
33,0,-26.8989
34,0,-26.8989
35,0,-26.8989
36,0,-26.8989
37,0,-26.8989
38,0,-26.8989
39,0,-26.8989
40,0,-26.8989
41,0,-26.8989
42,0,-26.8989
43,0,-26.8989
44,0,-26.8989
45,0,-26.8989
46,0,-26.8989
47,0,-26.8989
48,0,-26.8989
49,0,-26.8989
50,0,-26.8989
51,0,-26.8989
52,0,-26.8989
53,0,-26.8989
54,0,-26.8989
55,0,-26.8989
56,0,-26.8989
57,0,-26.8989
58,0,-26.8989
59,0,-26.8989
60,0,-26.8989
61,0,-26.8989
62,0,-26.8989
63,0,-26.8989
64,0,-26.8989
65,0,-26.8989
66,0,-26.8989
67,0,-26.8989
68,0,-26.8989
69,0,-26.8989
70,0,-26.8989
71,0,-26.8989
72,0,-26.8989
73,0,-26.8989
74,0,-26.8989
75,0,-26.8989
76,0,-26.8989
77,0,-26.8989
78,0,-26.8989
79,0,-26.8989
80,0,-26.8989
81,0,-26.8989
82,0,-26.8989
83,0,-26.8989
84,0,-26.8989
85,0,-26.8989
86,0,-26.8989
87,0,-26.8989
88,0,-26.8989
89,0,-26.8989
90,0,-26.8989
-90,1,-27.294
-89,1,-27.3035
-88,1,-27.3126
-87,1,-27.3213
-86,1,-27.3295
-85,1,-27.3372
-84,1,-27.3445
-83,1,-27.3513
-82,1,-27.3577
-81,1,-27.3637
-80,1,-27.3692
-79,1,-27.3742
-78,1,-27.3787
-77,1,-27.3828
-76,1,-27.3865
-75,1,-27.3897
-74,1,-27.3924
-73,1,-27.3947
-72,1,-27.3965
-71,1,-27.3979
-70,1,-27.3989
-69,1,-27.3994
-68,1,-27.3995
-67,1,-27.3992
-66,1,-27.3985
-65,1,-27.3974
-64,1,-27.3958
-63,1,-27.3939
-62,1,-27.3916
-61,1,-27.3889
-60,1,-27.3858
-59,1,-27.3824
-58,1,-27.3787
-57,1,-27.3746
-56,1,-27.3701
-55,1,-27.3654
-54,1,-27.3604
-53,1,-27.355
-52,1,-27.3494
-51,1,-27.3436
-50,1,-27.3374
-49,1,-27.3311
-48,1,-27.3245
-47,1,-27.3177
-46,1,-27.3106
-45,1,-27.3034
-44,1,-27.2961
-43,1,-27.2885
-42,1,-27.2808
-41,1,-27.273
-40,1,-27.2651
-39,1,-27.257
-38,1,-27.2489
-37,1,-27.2407
-36,1,-27.2324
-35,1,-27.224
-34,1,-27.2157
-33,1,-27.2073
-32,1,-27.1989
-31,1,-27.1905
-30,1,-27.1821
-29,1,-27.1738
-28,1,-27.1654
-27,1,-27.1572
-26,1,-27.149
-25,1,-27.1409
-24,1,-27.1329
-23,1,-27.125
-22,1,-27.1172
-21,1,-27.1096
-20,1,-27.1021
-19,1,-27.0947
-18,1,-27.0875
-17,1,-27.0805
-16,1,-27.0736
-15,1,-27.067
-14,1,-27.0605
-13,1,-27.0543
-12,1,-27.0483
-11,1,-27.0425
-10,1,-27.0369
-9,1,-27.0316
-8,1,-27.0265
-7,1,-27.0217
-6,1,-27.0172
-5,1,-27.0129
-4,1,-27.0088
-3,1,-27.0051
-2,1,-27.0016
-1,1,-26.9985
0,1,-26.992
1,1,-27.0834
2,1,-27.0801
3,1,-27.0772
4,1,-27.0745
5,1,-27.0721
6,1,-27.0699
7,1,-27.0681
8,1,-27.0665
9,1,-27.0652
10,1,-27.0642
11,1,-27.0635
12,1,-27.063
13,1,-27.0628
14,1,-27.0629
15,1,-27.0633
16,1,-27.0639
17,1,-27.0647
18,1,-27.0659
19,1,-27.0672
20,1,-27.0688
21,1,-27.0707
22,1,-27.0728
23,1,-27.0751
