Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-17.7625
-89,0,-17.7625
-88,0,-17.7625
-87,0,-17.7625
-86,0,-17.7625
-85,0,-17.7625
-84,0,-17.7625
-83,0,-17.7625
-82,0,-17.7625
-81,0,-17.7625
-80,0,-17.7625
-79,0,-17.7625
-78,0,-17.7625
-77,0,-17.7625
-76,0,-17.7625
-75,0,-17.7625
-74,0,-17.7625
-73,0,-17.7625
-72,0,-17.7625
-71,0,-17.7625
-70,0,-17.7625
-69,0,-17.7625
-68,0,-17.7625
-67,0,-17.7625
-66,0,-17.7625
-65,0,-17.7625
-64,0,-17.7625
-63,0,-17.7625
-62,0,-17.7625
-61,0,-17.7625
-60,0,-17.7625
-59,0,-17.7625
-58,0,-17.7625
-57,0,-17.7625
-56,0,-17.7625
-55,0,-17.7625
-54,0,-17.7625
-53,0,-17.7625
-52,0,-17.7625
-51,0,-17.7625
-50,0,-17.7625
-49,0,-17.7625
-48,0,-17.7625
-47,0,-17.7625
-46,0,-17.7625
-45,0,-17.7625
-44,0,-17.7625
-43,0,-17.7625
-42,0,-17.7625
-41,0,-17.7625
-40,0,-17.7625
-39,0,-17.7625
-38,0,-17.7625
-37,0,-17.7625
-36,0,-17.7625
-35,0,-17.7625
-34,0,-17.7625
-33,0,-17.7625
-32,0,-17.7625
-31,0,-17.7625
-30,0,-17.7625
-29,0,-17.7625
-28,0,-17.7625
-27,0,-17.7625
-26,0,-17.7625
-25,0,-17.7625
-24,0,-17.7625
-23,0,-17.7625
-22,0,-17.7625
-21,0,-17.7625
-20,0,-17.7625
-19,0,-17.7625
-18,0,-17.7625
-17,0,-17.7625
-16,0,-17.7625
-15,0,-17.7625
-14,0,-17.7625
-13,0,-17.7625
-12,0,-17.7625
-11,0,-17.7625
-10,0,-17.7625
-9,0,-17.7625
-8,0,-17.7625
-7,0,-17.7625
-6,0,-17.7625
-5,0,-17.7625
-4,0,-17.7625
-3,0,-17.7625
-2,0,-17.7625
-1,0,-17.7625
0,0,-17.7547
1,0,-17.7547
2,0,-17.7547
3,0,-17.7547
4,0,-17.7547
5,0,-17.7547
6,0,-17.7547
7,0,-17.7547
8,0,-17.7547
9,0,-17.7547
10,0,-17.7547
11,0,-17.7547
12,0,-17.7547
13,0,-17.7547
14,0,-17.7547
15,0,-17.7547
16,0,-17.7547
17,0,-17.7547
18,0,-17.7547
19,0,-17.7547
20,0,-17.7547
21,0,-17.7547
22,0,-17.7547
23,0,-17.7547
24,0,-17.7547
25,0,-17.7547
26,0,-17.7547
27,0,-17.7547
28,0,-17.7547
29,0,-17.7547
30,0,-17.7547
31,0,-17.7547
32,0,-17.7547
33,0,-17.7547
34,0,-17.7547
35,0,-17.7547
36,0,-17.7547
37,0,-17.7547
38,0,-17.7547
39,0,-17.7547
40,0,-17.7547
41,0,-17.7547
42,0,-17.7547
43,0,-17.7547
44,0,-17.7547
45,0,-17.7547
46,0,-17.7547
47,0,-17.7547
48,0,-17.7547
49,0,-17.7547
50,0,-17.7547
51,0,-17.7547
52,0,-17.7547
53,0,-17.7547
54,0,-17.7547
55,0,-17.7547
56,0,-17.7547
57,0,-17.7547
58,0,-17.7547
59,0,-17.7547
60,0,-17.7547
61,0,-17.7547
62,0,-17.7547
63,0,-17.7547
64,0,-17.7547
65,0,-17.7547
66,0,-17.7547
67,0,-17.7547
68,0,-17.7547
69,0,-17.7547
70,0,-17.7547
71,0,-17.7547
72,0,-17.7547
73,0,-17.7547
74,0,-17.7547
75,0,-17.7547
76,0,-17.7547
77,0,-17.7547
78,0,-17.7547
79,0,-17.7547
80,0,-17.7547
81,0,-17.7547
82,0,-17.7547
83,0,-17.7547
84,0,-17.7547
85,0,-17.7547
86,0,-17.7547
87,0,-17.7547
88,0,-17.7547
89,0,-17.7547
90,0,-17.7547
-90,1,-18.1716
-89,1,-18.1683
-88,1,-18.1649
-87,1,-18.1613
-86,1,-18.1574
-85,1,-18.1533
-84,1,-18.149
-83,1,-18.1445
-82,1,-18.1398
-81,1,-18.1349
-80,1,-18.1298
-79,1,-18.1244
-78,1,-18.1189
-77,1,-18.1131
-76,1,-18.1071
-75,1,-18.101
-74,1,-18.0946
-73,1,-18.088
-72,1,-18.0813
-71,1,-18.0743
-70,1,-18.0672
-69,1,-18.0599
-68,1,-18.0524
-67,1,-18.0447
-66,1,-18.0369
-65,1,-18.0289
-64,1,-18.0207
-63,1,-18.0124
-62,1,-18.0039
-61,1,-17.9953
-60,1,-17.9866
-59,1,-17.9777
-58,1,-17.9687
-57,1,-17.9596
-56,1,-17.9503
-55,1,-17.941
-54,1,-17.9316
-53,1,-17.9221
-52,1,-17.9125
-51,1,-17.9028
-50,1,-17.8931
-49,1,-17.8833
-48,1,-17.8735
-47,1,-17.8636
-46,1,-17.8537
-45,1,-17.8437
-44,1,-17.8338
-43,1,-17.8238
-42,1,-17.8139
-41,1,-17.8039
-40,1,-17.794
-39,1,-17.784
-38,1,-17.7742
-37,1,-17.7643
-36,1,-17.7546
-35,1,-17.7448
-34,1,-17.7352
-33,1,-17.7256
-32,1,-17.7161
-31,1,-17.7068
-30,1,-17.6975
-29,1,-17.6883
-28,1,-17.6793
-27,1,-17.6703
-26,1,-17.6616
-25,1,-17.6529
-24,1,-17.6445
-23,1,-17.6361
-22,1,-17.628
-21,1,-17.62
-20,1,-17.6122
-19,1,-17.6047
-18,1,-17.5973
-17,1,-17.5901
-16,1,-17.5831
-15,1,-17.5764
-14,1,-17.5699
-13,1,-17.5636
-12,1,-17.5575
-11,1,-17.5517
-10,1,-17.5462
-9,1,-17.5409
-8,1,-17.5359
-7,1,-17.5311
-6,1,-17.5266
-5,1,-17.5224
-4,1,-17.5185
-3,1,-17.5148
-2,1,-17.5115
-1,1,-17.5084
0,1,-17.4983
1,1,-17.549
2,1,-17.5476
3,1,-17.5464
4,1,-17.5455
5,1,-17.5449
6,1,-17.5447
7,1,-17.5447
8,1,-17.5451
9,1,-17.5458
10,1,-17.5468
11,1,-17.5481
12,1,-17.5497
13,1,-17.5516
14,1,-17.5539
15,1,-17.5564
16,1,-17.5593
17,1,-17.5625
18,1,-17.5659
19,1,-17.5697
20,1,-17.5738
21,1,-17.5782
22,1,-17.5829
23,1,-17.5878
24,1,-17.5931
25,1,-17.5986
26,1,-17.6044
27,1,-17.6105
28,1,-17.6169
29,1,-17.6235
30,1,-17.6304
31,1,-17.6376
32,1,-17.645
33,1,-17.6526
34,1,-17.6605
35,1,-17.6686
36,1,-17.6769
37,1,-17.6855
38,1,-17.6942
39,1,-17.7032
40,1,-17.7124
41,1,-17.7217
42,1,-17.7313
43,1,-17.741
44,1,-17.7509
45,1,-17.7609
46,1,-17.7711
47,1,-17.7814
48,1,-17.7919
49,1,-17.8025
50,1,-17.8132
51,1,-17.824
52,1,-17.8349
53,1,-17.8459
54,1,-17.857
55,1,-17.8681
56,1,-17.8793
57,1,-17.8906
58,1,-17.9019
59,1,-17.9132
60,1,-17.9246
61,1,-17.936
62,1,-17.9474
63,1,-17.9588
64,1,-17.9701
65,1,-17.9815
66,1,-17.9928
67,1,-18.0041
68,1,-18.0154
69,1,-18.0265
70,1,-18.0377
71,1,-18.0487
72,1,-18.0597
73,1,-18.0706
74,1,-18.0813
75,1,-18.092
76,1,-18.1026
77,1,-18.113
78,1,-18.1233
79,1,-18.1335
80,1,-18.1435
81,1,-18.1534
82,1,-18.1631
83,1,-18.1726
84,1,-18.182
85,1,-18.1912
86,1,-18.2002
87,1,-18.209
88,1,-18.2177
89,1,-18.2261
90,1,-18.2343
-90,2,-19.4323
-89,2,-19.4304
-88,2,-19.4276
-87,2,-19.424
-86,2,-19.4194
-85,2,-19.4139
-84,2,-19.4075
-83,2,-19.4002
-82,2,-19.3919
-81,2,-19.3828
-80,2,-19.3727
