Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-17.6585
-89,0,-17.6585
-88,0,-17.6585
-87,0,-17.6585
-86,0,-17.6585
-85,0,-17.6585
-84,0,-17.6585
-83,0,-17.6585
-82,0,-17.6585
-81,0,-17.6585
-80,0,-17.6585
-79,0,-17.6585
-78,0,-17.6585
-77,0,-17.6585
-76,0,-17.6585
-75,0,-17.6585
-74,0,-17.6585
-73,0,-17.6585
-72,0,-17.6585
-71,0,-17.6585
-70,0,-17.6585
-69,0,-17.6585
-68,0,-17.6585
-67,0,-17.6585
-66,0,-17.6585
-65,0,-17.6585
-64,0,-17.6585
-63,0,-17.6585
-62,0,-17.6585
-61,0,-17.6585
-60,0,-17.6585
-59,0,-17.6585
-58,0,-17.6585
-57,0,-17.6585
-56,0,-17.6585
-55,0,-17.6585
-54,0,-17.6585
-53,0,-17.6585
-52,0,-17.6585
-51,0,-17.6585
-50,0,-17.6585
-49,0,-17.6585
-48,0,-17.6585
-47,0,-17.6585
-46,0,-17.6585
-45,0,-17.6585
-44,0,-17.6585
-43,0,-17.6585
-42,0,-17.6585
-41,0,-17.6585
-40,0,-17.6585
-39,0,-17.6585
-38,0,-17.6585
-37,0,-17.6585
-36,0,-17.6585
-35,0,-17.6585
-34,0,-17.6585
-33,0,-17.6585
-32,0,-17.6585
-31,0,-17.6585
-30,0,-17.6585
-29,0,-17.6585
-28,0,-17.6585
-27,0,-17.6585
-26,0,-17.6585
-25,0,-17.6585
-24,0,-17.6585
-23,0,-17.6585
-22,0,-17.6585
-21,0,-17.6585
-20,0,-17.6585
-19,0,-17.6585
-18,0,-17.6585
-17,0,-17.6585
-16,0,-17.6585
-15,0,-17.6585
-14,0,-17.6585
-13,0,-17.6585
-12,0,-17.6585
-11,0,-17.6585
-10,0,-17.6585
-9,0,-17.6585
-8,0,-17.6585
-7,0,-17.6585
-6,0,-17.6585
-5,0,-17.6585
-4,0,-17.6585
-3,0,-17.6585
-2,0,-17.6585
-1,0,-17.6585
0,0,-17.6507
1,0,-17.6507
2,0,-17.6507
3,0,-17.6507
4,0,-17.6507
5,0,-17.6507
6,0,-17.6507
7,0,-17.6507
8,0,-17.6507
9,0,-17.6507
10,0,-17.6507
11,0,-17.6507
12,0,-17.6507
13,0,-17.6507
14,0,-17.6507
15,0,-17.6507
16,0,-17.6507
17,0,-17.6507
18,0,-17.6507
19,0,-17.6507
20,0,-17.6507
21,0,-17.6507
22,0,-17.6507
23,0,-17.6507
