Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-26.02
-89,0,-26.02
-88,0,-26.02
-87,0,-26.02
-86,0,-26.02
-85,0,-26.02
-84,0,-26.02
-83,0,-26.02
-82,0,-26.02
-81,0,-26.02
-80,0,-26.02
-79,0,-26.02
-78,0,-26.02
-77,0,-26.02
-76,0,-26.02
-75,0,-26.02
-74,0,-26.02
-73,0,-26.02
-72,0,-26.02
-71,0,-26.02
-70,0,-26.02
-69,0,-26.02
-68,0,-26.02
-67,0,-26.02
-66,0,-26.02
-65,0,-26.02
-64,0,-26.02
-63,0,-26.02
-62,0,-26.02
-61,0,-26.02
-60,0,-26.02
-59,0,-26.02
-58,0,-26.02
-57,0,-26.02
-56,0,-26.02
-55,0,-26.02
-54,0,-26.02
-53,0,-26.02
-52,0,-26.02
-51,0,-26.02
-50,0,-26.02
-49,0,-26.02
-48,0,-26.02
-47,0,-26.02
-46,0,-26.02
-45,0,-26.02
-44,0,-26.02
-43,0,-26.02
-42,0,-26.02
-41,0,-26.02
-40,0,-26.02
-39,0,-26.02
-38,0,-26.02
-37,0,-26.02
-36,0,-26.02
-35,0,-26.02
-34,0,-26.02
-33,0,-26.02
-32,0,-26.02
-31,0,-26.02
-30,0,-26.02
-29,0,-26.02
-28,0,-26.02
-27,0,-26.02
-26,0,-26.02
-25,0,-26.02
-24,0,-26.02
-23,0,-26.02
-22,0,-26.02
-21,0,-26.02
-20,0,-26.02
-19,0,-26.02
-18,0,-26.02
-17,0,-26.02
-16,0,-26.02
-15,0,-26.02
-14,0,-26.02
-13,0,-26.02
-12,0,-26.02
-11,0,-26.02
-10,0,-26.02
-9,0,-26.02
-8,0,-26.02
-7,0,-26.02
-6,0,-26.02
-5,0,-26.02
-4,0,-26.02
-3,0,-26.02
-2,0,-26.02
-1,0,-26.02
0,0,-26.02
1,0,-26.02
2,0,-26.02
3,0,-26.02
4,0,-26.02
5,0,-26.02
6,0,-26.02
7,0,-26.02
8,0,-26.02
9,0,-26.02
10,0,-26.02
11,0,-26.02
12,0,-26.02
13,0,-26.02
14,0,-26.02
15,0,-26.02
16,0,-26.02
17,0,-26.02
18,0,-26.02
19,0,-26.02
20,0,-26.02
21,0,-26.02
22,0,-26.02
23,0,-26.02
24,0,-26.02
25,0,-26.02
26,0,-26.02
27,0,-26.02
28,0,-26.02
29,0,-26.02
30,0,-26.02
31,0,-26.02
32,0,-26.02
33,0,-26.02
34,0,-26.02
35,0,-26.02
36,0,-26.02
37,0,-26.02
38,0,-26.02
39,0,-26.02
40,0,-26.02
41,0,-26.02
42,0,-26.02
43,0,-26.02
44,0,-26.02
45,0,-26.02
46,0,-26.02
47,0,-26.02
48,0,-26.02
49,0,-26.02
50,0,-26.02
51,0,-26.02
52,0,-26.02
53,0,-26.02
54,0,-26.02
55,0,-26.02
56,0,-26.02
57,0,-26.02
58,0,-26.02
59,0,-26.02
60,0,-26.02
61,0,-26.02
62,0,-26.02
63,0,-26.02
64,0,-26.02
65,0,-26.02
66,0,-26.02
67,0,-26.02
68,0,-26.02
69,0,-26.02
70,0,-26.02
71,0,-26.02
72,0,-26.02
73,0,-26.02
74,0,-26.02
75,0,-26.02
76,0,-26.02
77,0,-26.02
78,0,-26.02
79,0,-26.02
80,0,-26.02
81,0,-26.02
82,0,-26.02
83,0,-26.02
84,0,-26.02
85,0,-26.02
86,0,-26.02
87,0,-26.02
88,0,-26.02
89,0,-26.02
90,0,-26.02
-90,1,-26.5507
-89,1,-26.5472
-88,1,-26.5433
-87,1,-26.539
-86,1,-26.5345
-85,1,-26.5296
-84,1,-26.5243
-83,1,-26.5188
-82,1,-26.5128
-81,1,-26.5065
-80,1,-26.4999
-79,1,-26.493
-78,1,-26.4856
-77,1,-26.478
-76,1,-26.47
-75,1,-26.4616
-74,1,-26.4529
-73,1,-26.4439
-72,1,-26.4346
-71,1,-26.4249
-70,1,-26.4149
-69,1,-26.4045
-68,1,-26.3939
-67,1,-26.3829
-66,1,-26.3716
-65,1,-26.3601
-64,1,-26.3482
-63,1,-26.3361
-62,1,-26.3237
-61,1,-26.311
-60,1,-26.2981
-59,1,-26.2849
-58,1,-26.2715
-57,1,-26.2579
-56,1,-26.2441
-55,1,-26.23
-54,1,-26.2158
-53,1,-26.2014
-52,1,-26.1868
-51,1,-26.1721
-50,1,-26.1572
-49,1,-26.1423
-48,1,-26.1272
-47,1,-26.1121
-46,1,-26.0968
-45,1,-26.0816
-44,1,-26.0663
-43,1,-26.0509
-42,1,-26.0356
-41,1,-26.0203
-40,1,-26.005
-39,1,-25.9898
-38,1,-25.9747
-37,1,-25.9596
-36,1,-25.9447
-35,1,-25.9299
-34,1,-25.9152
-33,1,-25.9008
-32,1,-25.8865
-31,1,-25.8724
-30,1,-25.8586
-29,1,-25.845
-28,1,-25.8317
-27,1,-25.8187
-26,1,-25.806
-25,1,-25.7936
-24,1,-25.7816
-23,1,-25.77
-22,1,-25.7587
-21,1,-25.7479
-20,1,-25.7375
-19,1,-25.7275
-18,1,-25.718
-17,1,-25.709
-16,1,-25.7005
-15,1,-25.6925
-14,1,-25.685
-13,1,-25.678
-12,1,-25.6716
-11,1,-25.6658
-10,1,-25.6606
-9,1,-25.6559
-8,1,-25.6519
-7,1,-25.6485
-6,1,-25.6457
-5,1,-25.6435
-4,1,-25.642
-3,1,-25.6411
-2,1,-25.6409
-1,1,-25.6414
0,1,-25.6425
1,1,-25.6344
2,1,-25.6364
3,1,-25.6391
4,1,-25.6424
5,1,-25.6465
6,1,-25.6511
7,1,-25.6565
8,1,-25.6625
9,1,-25.6692
10,1,-25.6765
11,1,-25.6845
12,1,-25.6931
13,1,-25.7024
14,1,-25.7123
15,1,-25.7227
16,1,-25.7338
17,1,-25.7455
18,1,-25.7577
19,1,-25.7705
20,1,-25.7839
21,1,-25.7977
22,1,-25.8121
23,1,-25.827
24,1,-25.8424
25,1,-25.8582
26,1,-25.8745
27,1,-25.8911
28,1,-25.9082
29,1,-25.9257
30,1,-25.9435
31,1,-25.9617
32,1,-25.9802
33,1,-25.999
34,1,-26.0181
35,1,-26.0374
36,1,-26.057
37,1,-26.0767
38,1,-26.0967
39,1,-26.1168
40,1,-26.1371
41,1,-26.1574
42,1,-26.1779
43,1,-26.1985
44,1,-26.2191
45,1,-26.2397
46,1,-26.2603
47,1,-26.281
48,1,-26.3016
49,1,-26.3221
50,1,-26.3426
51,1,-26.3629
52,1,-26.3832
53,1,-26.4033
54,1,-26.4233
55,1,-26.4431
56,1,-26.4627
57,1,-26.4822
58,1,-26.5014
59,1,-26.5204
60,1,-26.5391
61,1,-26.5576
62,1,-26.5757
63,1,-26.5936
64,1,-26.6113
65,1,-26.6285
66,1,-26.6455
67,1,-26.6622
68,1,-26.6784
69,1,-26.6944
70,1,-26.71
71,1,-26.7252
72,1,-26.74
73,1,-26.7545
74,1,-26.7685
75,1,-26.7822
76,1,-26.7955
77,1,-26.8084
78,1,-26.8208
79,1,-26.8329
80,1,-26.8445
81,1,-26.8558
82,1,-26.8666
83,1,-26.877
84,1,-26.8869
85,1,-26.8965
86,1,-26.9056
87,1,-26.9143
88,1,-26.9226
89,1,-26.9304
90,1,-26.9378
-90,2,-28.0688
-89,2,-28.0698
-88,2,-28.0701
-87,2,-28.0697
-86,2,-28.0686
-85,2,-28.0667
-84,2,-28.0641
-83,2,-28.0607
-82,2,-28.0566
-81,2,-28.0517
-80,2,-28.046
-79,2,-28.0395
-78,2,-28.0321
-77,2,-28.0239
-76,2,-28.0149
-75,2,-28.0049
-74,2,-27.9941
-73,2,-27.9823
-72,2,-27.9697
-71,2,-27.956
-70,2,-27.9414
-69,2,-27.9257
-68,2,-27.9091
-67,2,-27.8914
-66,2,-27.8726
-65,2,-27.8528
-64,2,-27.8318
-63,2,-27.8098
-62,2,-27.7866
-61,2,-27.7622
-60,2,-27.7367
-59,2,-27.71
-58,2,-27.6821
-57,2,-27.653
