Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-22.8897
-89,0,-22.8897
-88,0,-22.8897
-87,0,-22.8897
-86,0,-22.8897
-85,0,-22.8897
-84,0,-22.8897
-83,0,-22.8897
-82,0,-22.8897
-81,0,-22.8897
-80,0,-22.8897
-79,0,-22.8897
-78,0,-22.8897
-77,0,-22.8897
-76,0,-22.8897
-75,0,-22.8897
-74,0,-22.8897
-73,0,-22.8897
-72,0,-22.8897
-71,0,-22.8897
-70,0,-22.8897
-69,0,-22.8897
-68,0,-22.8897
-67,0,-22.8897
-66,0,-22.8897
-65,0,-22.8897
-64,0,-22.8897
-63,0,-22.8897
-62,0,-22.8897
-61,0,-22.8897
-60,0,-22.8897
-59,0,-22.8897
-58,0,-22.8897
-57,0,-22.8897
-56,0,-22.8897
-55,0,-22.8897
-54,0,-22.8897
-53,0,-22.8897
-52,0,-22.8897
-51,0,-22.8897
-50,0,-22.8897
-49,0,-22.8897
-48,0,-22.8897
-47,0,-22.8897
-46,0,-22.8897
-45,0,-22.8897
-44,0,-22.8897
-43,0,-22.8897
-42,0,-22.8897
-41,0,-22.8897
-40,0,-22.8897
-39,0,-22.8897
-38,0,-22.8897
-37,0,-22.8897
-36,0,-22.8897
-35,0,-22.8897
-34,0,-22.8897
-33,0,-22.8897
-32,0,-22.8897
-31,0,-22.8897
-30,0,-22.8897
-29,0,-22.8897
-28,0,-22.8897
-27,0,-22.8897
-26,0,-22.8897
-25,0,-22.8897
-24,0,-22.8897
-23,0,-22.8897
-22,0,-22.8897
-21,0,-22.8897
-20,0,-22.8897
-19,0,-22.8897
-18,0,-22.8897
-17,0,-22.8897
-16,0,-22.8897
-15,0,-22.8897
-14,0,-22.8897
-13,0,-22.8897
-12,0,-22.8897
-11,0,-22.8897
-10,0,-22.8897
-9,0,-22.8897
-8,0,-22.8897
-7,0,-22.8897
-6,0,-22.8897
-5,0,-22.8897
-4,0,-22.8897
-3,0,-22.8897
-2,0,-22.8897
-1,0,-22.8897
0,0,-22.8897
1,0,-22.8897
2,0,-22.8897
3,0,-22.8897
4,0,-22.8897
5,0,-22.8897
6,0,-22.8897
7,0,-22.8897
8,0,-22.8897
9,0,-22.8897
10,0,-22.8897
